N error
8.000000000000000000e+00 2.031373974771881474e-01
1.600000000000000000e+01 5.047124984893426591e-02
3.400000000000000000e+01 1.149897494065794598e-02
7.300000000000000000e+01 2.551111897746665205e-03
1.530000000000000000e+02 5.879692335611096153e-04
3.200000000000000000e+02 1.352701195850020274e-04
6.690000000000000000e+02 3.104702467370665697e-05
1.400000000000000000e+03 7.100431430958691061e-06
