N E5 E9
8.000000000000000000e+00 5.127029761206585573e-04 6.487721320207889830e-06
1.600000000000000000e+01 1.576141328506466474e-04 8.374022683809920209e-07
3.100000000000000000e+01 4.415475359600615213e-05 7.197430386754466447e-08
6.300000000000000000e+01 1.098715028804379129e-05 4.581011904015996894e-09
1.270000000000000000e+02 2.743580711036044950e-06 2.875865309781566737e-10
2.560000000000000000e+02 6.803432744690446343e-07 1.771534134664687343e-11
