N five nine
8.000000000000000000e+00 2.031373974771881474e-01 2.564802270641227885e-02
1.300000000000000000e+01 7.606565155085713570e-02 4.124669897655761433e-03
2.100000000000000000e+01 2.958598620772368709e-02 6.601711278540801659e-04
3.500000000000000000e+01 1.086264642315611269e-02 9.113906944394769920e-05
5.700000000000000000e+01 4.158989985650144924e-03 1.347684712620615039e-05
9.500000000000000000e+01 1.514362786656072747e-03 1.792975535174285613e-06
1.560000000000000000e+02 5.657019626719970735e-04 2.505131657855606736e-07
2.560000000000000000e+02 2.110457038613910020e-04 3.488316044402186424e-08
