N error
1.000000000000000000e+01 1.119633110672791920e-01
2.000000000000000000e+01 2.855499006355096195e-02
4.100000000000000000e+01 6.994934016627383892e-03
8.300000000000000000e+01 1.739903336635112256e-03
1.680000000000000000e+02 4.292983215460300858e-04
3.410000000000000000e+02 1.047957749592166328e-04
6.910000000000000000e+02 2.559472160720288817e-05
1.400000000000000000e+03 6.244326974965267199e-06
