Ns five five_roof nine nine_roof
8.000000000000000000e+00 2.705180583062718937e-03 1.234567901234567876e-03 3.423123828251393714e-05 1.524157902758725572e-05
1.600000000000000000e+01 1.351223704894480813e-03 3.460207612456747835e-04 7.179037660518697596e-06 1.197303672130362540e-06
3.100000000000000000e+01 7.064760575360914951e-04 9.765625000000000542e-05 1.151588861890401936e-06 9.536743164062500529e-08
6.300000000000000000e+01 3.515888092173720478e-04 2.441406250000000136e-05 1.465923809229682288e-07 5.960464477539062831e-09
1.270000000000000000e+02 1.755891655062934327e-04 6.103515625000000339e-06 1.840553800350991707e-08 3.725290298461914269e-10
2.560000000000000000e+02 8.742737676443814473e-05 1.514027464458205356e-06 2.276506257812032334e-09 2.292279163133742330e-11
