N FPS NO_FPS
8.000000000000000000e+00 2.264261245727539062e-03 1.442956924438476562e-02
1.300000000000000000e+01 1.925230026245117188e-03 5.953311920166015625e-03
2.100000000000000000e+01 2.075910568237304688e-03 7.001876831054687500e-03
3.500000000000000000e+01 2.404928207397460938e-03 1.330351829528808594e-02
5.700000000000000000e+01 3.353595733642578125e-03 3.109502792358398438e-02
9.500000000000000000e+01 5.997896194458007812e-03 1.093494892120361328e-01
1.560000000000000000e+02 2.138900756835937500e-02 3.439483642578125000e-01
2.560000000000000000e+02 7.009124755859375000e-02 1.506816387176513672e+00
