N error
8.000000000000000000e+00 4.236985426247543707e-01
1.300000000000000000e+01 2.489953951723199166e-01
2.100000000000000000e+01 1.527412645979066563e-01
3.500000000000000000e+01 9.190708060168607807e-02
5.700000000000000000e+01 5.672423180337764909e-02
9.500000000000000000e+01 3.419401005226475193e-02
1.560000000000000000e+02 2.089155587865718783e-02
2.560000000000000000e+02 1.275868825748017153e-02
