M1 E1 M2 E2 M3 E3
7.000000000000000000e+00 3.196875245782631603e-01 1.800000000000000000e+01 1.825035076093871056e-01 1.800000000000000000e+01 1.825035076093871056e-01
1.500000000000000000e+01 1.639109298662459469e-01 1.900000000000000000e+01 2.413111038973191416e-02 1.900000000000000000e+01 2.413111038973191416e-02
3.100000000000000000e+01 3.699624360776206794e-02 2.300000000000000000e+01 2.082299463093349387e-02 2.100000000000000000e+01 2.370645048276173728e-02
6.300000000000000000e+01 2.395890837430937961e-02 2.900000000000000000e+01 6.196995086928067456e-03 2.700000000000000000e+01 9.386799030538591979e-03
1.270000000000000000e+02 7.484283383095634637e-03 3.900000000000000000e+01 1.658260247892502258e-03 2.900000000000000000e+01 6.196995086928067456e-03
2.550000000000000000e+02 1.908501271394641517e-03 5.700000000000000000e+01 4.436514051941032981e-04 3.300000000000000000e+01 3.248857308752381261e-03
5.110000000000000000e+02 4.795094788420955654e-04 8.300000000000000000e+01 1.660971878572770489e-04 3.700000000000000000e+01 1.828536716504100372e-03
1.023000000000000000e+03 1.200270910003088589e-04 1.170000000000000000e+02 6.941725439894451313e-05 4.500000000000000000e+01 8.975063005011003035e-04
2.047000000000000000e+03 3.001614148728473002e-05 1.710000000000000000e+02 2.973789569590182038e-05 5.500000000000000000e+01 5.144438027873958659e-04
nan nan 2.350000000000000000e+02 1.483093547242630542e-05 5.900000000000000000e+01 3.947274314826810094e-04
nan nan 3.350000000000000000e+02 7.020287971700383623e-06 6.900000000000000000e+01 2.533603352384470827e-04
nan nan 4.570000000000000000e+02 3.676013903342096037e-06 7.300000000000000000e+01 2.221306800716257932e-04
nan nan 6.530000000000000000e+02 1.751767177044721168e-06 9.100000000000000000e+01 1.288703511010578183e-04
nan nan 8.930000000000000000e+02 9.219409134006585339e-07 1.030000000000000000e+02 9.573719786907990766e-05
nan nan 1.275000000000000000e+03 4.487653790007130764e-07 1.170000000000000000e+02 6.941725439894451313e-05
nan nan 1.755000000000000000e+03 2.339218055773132807e-07 1.290000000000000000e+02 5.620566878603323467e-05
nan nan nan nan 1.590000000000000000e+02 3.588283090288698095e-05
nan nan nan nan 1.750000000000000000e+02 2.824546420475489459e-05
nan nan nan nan 2.030000000000000000e+02 2.071847843757089634e-05
nan nan nan nan 2.250000000000000000e+02 1.616940244450013284e-05
nan nan nan nan 2.610000000000000000e+02 1.250411932656629178e-05
nan nan nan nan 3.150000000000000000e+02 8.131381330939310852e-06
nan nan nan nan 3.470000000000000000e+02 6.496469335233304016e-06
nan nan nan nan 4.030000000000000000e+02 4.795273268782551374e-06
nan nan nan nan 4.510000000000000000e+02 3.760587560853797587e-06
nan nan nan nan 5.450000000000000000e+02 2.676518124618411355e-06
nan nan nan nan 6.290000000000000000e+02 1.911204085709205344e-06
nan nan nan nan 6.830000000000000000e+02 1.598627456151725728e-06
nan nan nan nan 8.250000000000000000e+02 1.085593318255532834e-06
nan nan nan nan 8.990000000000000000e+02 9.113396512489916987e-07
nan nan nan nan 1.121000000000000000e+03 6.066255570170965159e-07
nan nan nan nan 1.265000000000000000e+03 4.567415481936328462e-07
nan nan nan nan 1.375000000000000000e+03 3.861919033976440246e-07
nan nan nan nan 1.667000000000000000e+03 2.596032530592852288e-07
nan nan nan nan 1.811000000000000000e+03 2.216243055532152382e-07
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
