M1 E1 M2 E2 M3 E3
7.000000000000000000e+00 1.329124604776530105e-01 1.800000000000000000e+01 6.429511273467344856e-02 1.800000000000000000e+01 6.429511273467344856e-02
1.500000000000000000e+01 4.289634924953555223e-02 2.300000000000000000e+01 1.504834360044001590e-02 1.900000000000000000e+01 3.375685774646511317e-02
3.100000000000000000e+01 2.095457474521056351e-02 2.900000000000000000e+01 4.296002246698957423e-03 2.100000000000000000e+01 1.797860275507980402e-02
6.300000000000000000e+01 5.408598635594346823e-03 4.100000000000000000e+01 1.516070496969617806e-03 2.500000000000000000e+01 8.573323776285651093e-03
1.270000000000000000e+02 1.362962088753622188e-03 5.700000000000000000e+01 6.246578396706485830e-04 2.700000000000000000e+01 5.322615129871597142e-03
2.550000000000000000e+02 3.414214635181815291e-04 8.100000000000000000e+01 2.689471594248946844e-04 3.100000000000000000e+01 3.388777373516203145e-03
5.110000000000000000e+02 8.539800590943850446e-05 1.210000000000000000e+02 1.068986114228556830e-04 3.500000000000000000e+01 2.358182836050149583e-03
1.023000000000000000e+03 2.135216776124721053e-05 1.750000000000000000e+02 4.626574155666096465e-05 3.900000000000000000e+01 1.683356101217995792e-03
2.047000000000000000e+03 5.338208598526060020e-06 2.550000000000000000e+02 2.122664207008581600e-05 4.500000000000000000e+01 1.101780793510547972e-03
nan nan 3.550000000000000000e+02 1.059497546899471711e-05 5.300000000000000000e+01 7.124629005937129639e-04
nan nan 5.110000000000000000e+02 5.011170890762826488e-06 6.300000000000000000e+01 5.033371874921267189e-04
nan nan 7.010000000000000000e+02 2.631023574647567758e-06 7.300000000000000000e+01 3.400975227442652802e-04
nan nan 1.001000000000000000e+03 1.285157680669963042e-06 8.700000000000000000e+01 2.276754125141453380e-04
nan nan 1.381000000000000000e+03 6.696776008772842801e-07 9.900000000000000000e+01 1.642984871268975534e-04
nan nan 1.983000000000000000e+03 3.250267024556693616e-07 1.210000000000000000e+02 1.068986114228556830e-04
nan nan nan nan 1.370000000000000000e+02 7.867906038150137703e-05
nan nan nan nan 1.590000000000000000e+02 5.852278859150506418e-05
nan nan nan nan 1.770000000000000000e+02 4.506229477512815852e-05
nan nan nan nan 2.050000000000000000e+02 3.489080031233827788e-05
nan nan nan nan 2.490000000000000000e+02 2.250882887317259438e-05
nan nan nan nan 2.730000000000000000e+02 1.831233915132116972e-05
nan nan nan nan 3.330000000000000000e+02 1.210471968341454200e-05
nan nan nan nan 3.630000000000000000e+02 1.018934215248893327e-05
nan nan nan nan 4.610000000000000000e+02 6.415138610221145774e-06
nan nan nan nan 5.150000000000000000e+02 4.926688736319015895e-06
nan nan nan nan 5.950000000000000000e+02 3.719018599172734700e-06
nan nan nan nan 6.730000000000000000e+02 2.843632732678619415e-06
nan nan nan nan 7.290000000000000000e+02 2.470643519339376992e-06
nan nan nan nan 9.370000000000000000e+02 1.498151441358201172e-06
nan nan nan nan 1.041000000000000000e+03 1.181571631621032009e-06
nan nan nan nan 1.219000000000000000e+03 8.696481083904015362e-07
nan nan nan nan 1.367000000000000000e+03 6.827060578185770810e-07
nan nan nan nan 1.615000000000000000e+03 5.165780007191932111e-07
nan nan nan nan 1.907000000000000000e+03 3.561040276864905202e-07
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
