M1 E1 M2 E2 M3 E3
7.000000000000000000e+00 9.801878703453106509e-03 1.800000000000000000e+01 3.580502041134590689e-03 1.800000000000000000e+01 3.580502041134590689e-03
1.500000000000000000e+01 4.373715870963978264e-03 2.000000000000000000e+01 1.627019659066898010e-03 1.900000000000000000e+01 1.675789967641672963e-03
3.100000000000000000e+01 1.951285985659976250e-03 2.400000000000000000e+01 7.472305524464239882e-04 2.000000000000000000e+01 8.961530691726558948e-04
6.300000000000000000e+01 8.707926788290136239e-04 2.900000000000000000e+01 3.594573622325394663e-04 2.100000000000000000e+01 6.279098982538546068e-04
1.270000000000000000e+02 3.889564561579524830e-04 3.600000000000000000e+01 1.850206161367782219e-04 2.300000000000000000e+01 3.967013041164133219e-04
2.550000000000000000e+02 1.740837178055532303e-04 4.700000000000000000e+01 9.884685614655635459e-05 2.500000000000000000e+01 2.996601158664776950e-04
5.110000000000000000e+02 7.823286722467513428e-05 6.500000000000000000e+01 5.006338914004744735e-05 2.700000000000000000e+01 2.363190938463903741e-04
1.023000000000000000e+03 3.543916208551875757e-05 8.900000000000000000e+01 2.672472906606125943e-05 3.100000000000000000e+01 1.732771173099321418e-04
2.047000000000000000e+03 1.629480534773299378e-05 1.260000000000000000e+02 1.373358766110740730e-05 3.500000000000000000e+01 1.333430707187077322e-04
nan nan 1.750000000000000000e+02 7.308111089559968669e-06 4.200000000000000000e+01 9.656046085847479242e-05
nan nan 2.480000000000000000e+02 3.893622836252764496e-06 4.900000000000000000e+01 7.190593386300890588e-05
nan nan 3.460000000000000000e+02 2.095551561711081875e-06 6.100000000000000000e+01 4.754169060628914660e-05
nan nan 4.890000000000000000e+02 1.158946080746303901e-06 6.900000000000000000e+01 3.595499245288161032e-05
nan nan 6.890000000000000000e+02 6.314662790196427777e-07 8.100000000000000000e+01 2.705586943408875411e-05
nan nan 9.770000000000000000e+02 3.594005875714407333e-07 9.600000000000000000e+01 1.950041330438767901e-05
nan nan 1.396000000000000000e+03 2.001453086946786684e-07 1.170000000000000000e+02 1.373258882949396130e-05
nan nan 2.008000000000000000e+03 1.164355656123585068e-07 1.350000000000000000e+02 9.864596003507098690e-06
nan nan nan nan 1.580000000000000000e+02 7.507116972252041250e-06
nan nan nan nan 1.860000000000000000e+02 5.421797748171792047e-06
nan nan nan nan 2.240000000000000000e+02 3.988225605401894916e-06
nan nan nan nan 2.650000000000000000e+02 2.728816871774063525e-06
nan nan nan nan 3.070000000000000000e+02 2.136103211784045960e-06
nan nan nan nan 3.610000000000000000e+02 1.525892012783343382e-06
nan nan nan nan 4.300000000000000000e+02 1.169971580158401356e-06
nan nan nan nan 5.190000000000000000e+02 7.773479423283016141e-07
nan nan nan nan 5.800000000000000000e+02 6.513156880922266018e-07
nan nan nan nan 6.830000000000000000e+02 4.566737345356487778e-07
nan nan nan nan 8.030000000000000000e+02 3.650612271606675572e-07
nan nan nan nan 9.740000000000000000e+02 2.441244614652260444e-07
nan nan nan nan 1.121000000000000000e+03 1.982520475676742608e-07
nan nan nan nan 1.329000000000000000e+03 1.353492351378328097e-07
nan nan nan nan 1.564000000000000000e+03 1.111830446087657931e-07
nan nan nan nan 1.921000000000000000e+03 7.313022724300595385e-08
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
nan nan nan nan nan nan
