x U E refE
-1.000000000000000000e+00 0.000000000000000000e+00 7.882231337328442916e-15 5.766990844088738105e-02
-8.947368421052631637e-01 -7.657870380366505429e-15 2.085442389485115166e-14 5.766990844088738105e-02
-7.894736842105263275e-01 -1.531574076073301086e-14 3.435784984902415894e-14 5.766990844088738105e-02
-6.842105263157894912e-01 -2.297361114109951629e-14 4.794574143384393470e-14 5.766990844088738105e-02
-5.789473684210526550e-01 -3.063148152146602802e-14 6.156219474779080067e-14 5.766990844088738105e-02
-4.736842105263158187e-01 -3.828935190183253030e-14 7.519169467314725724e-14 5.766990844088738105e-02
-3.684210526315789824e-01 -4.594722228219903888e-14 8.882823593095643301e-14 5.766990844088738105e-02
-2.631578947368421462e-01 -5.360509266256554115e-14 1.422089713961392638e-11 5.766990844088738105e-02
-1.578947368421053099e-01 1.482253436300554220e-11 5.339811128688680408e-02 5.766990844088738105e-02
-5.263157894736847364e-02 6.265679758963538237e-02 1.000000000000000000e+00 5.766990844088738105e-02
5.263157894736836262e-02 6.265679758963621504e-02 5.339811128688760899e-02 5.766990844088738105e-02
1.578947368421053099e-01 1.482264138097912069e-11 1.422105596372430696e-11 5.766990844088738105e-02
2.631578947368420351e-01 -5.351145193568757933e-14 8.867306521551296185e-14 5.766990844088738105e-02
3.684210526315787604e-01 -4.586695880201795309e-14 7.506034512043409939e-14 5.766990844088738105e-02
4.736842105263157077e-01 -3.822246566834828898e-14 6.145465405756812886e-14 5.766990844088738105e-02
5.789473684210526550e-01 -3.057797253467863119e-14 4.786198681547530478e-14 5.766990844088738105e-02
6.842105263157893802e-01 -2.293347940100898601e-14 3.429783140909576382e-14 5.766990844088738105e-02
7.894736842105261054e-01 -1.528898626733933768e-14 2.081799408351913822e-14 5.766990844088738105e-02
8.947368421052630527e-01 -7.644493133669670418e-15 7.868462162886522193e-15 5.766990844088738105e-02
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.766990844088738105e-02
