x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 8.982804425165856477e-02
2.631578947368420907e-02 8.833603011599160115e-02 1.244848806047869905e-01 8.982804425165856477e-02
5.263157894736841813e-02 1.403088880222884416e-01 6.778332826914483522e-02 8.982804425165856477e-02
7.894736842105262720e-02 1.839017319573235942e-01 4.734435979030519881e-02 8.982804425165856477e-02
1.052631578947368363e-01 2.228121851447782964e-01 1.403495858749490011e-01 8.982804425165856477e-02
1.578947368421052544e-01 2.920130392737790848e-01 9.414204591613330175e-02 8.982804425165856477e-02
2.105263157894736725e-01 3.537810614043444546e-01 7.066996550266280153e-02 8.982804425165856477e-02
2.631578947368420907e-01 4.105517798114949324e-01 5.648604891048522592e-02 8.982804425165856477e-02
3.157894736842105088e-01 4.636336256622989871e-01 4.692567723105207228e-02 8.982804425165856477e-02
3.684210526315789269e-01 5.138320459089805725e-01 3.997020404613099709e-02 8.982804425165856477e-02
4.210526315789473450e-01 5.616873045868342462e-01 3.461352863004377167e-02 8.982804425165856477e-02
4.736842105263157632e-01 6.075840155729921310e-01 3.030204285840224984e-02 8.982804425165856477e-02
5.263157894736841813e-01 6.518082583238161698e-01 2.670789393128071218e-02 8.982804425165856477e-02
5.789473684210526550e-01 6.945801163122582444e-01 2.362559053982204657e-02 8.982804425165856477e-02
6.315789473684210176e-01 7.360734918842769536e-01 2.092042039278624657e-02 8.982804425165856477e-02
6.842105263157893802e-01 7.764288194456289149e-01 1.850084527936978959e-02 8.982804425165856477e-02
7.368421052631578538e-01 8.157615726074810558e-01 1.630288653960409659e-02 8.982804425165856477e-02
7.894736842105263275e-01 8.541681575616084654e-01 1.428091407146875498e-02 8.982804425165856477e-02
8.421052631578946901e-01 8.917301161913959717e-01 1.240207940050993933e-02 8.982804425165856477e-02
8.947368421052630527e-01 9.285171988300798818e-01 1.064299986951079170e-02 8.982804425165856477e-02
9.473684210526315264e-01 9.645896591091827066e-01 8.988065255520748600e-03 8.982804425165856477e-02
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 8.982804425165856477e-02
