x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 9.999999996779195266e-01 9.899999998838001636e-01
1.315789473684210453e-02 1.731301939060411711e-04 9.999999996908595090e-01 9.899999998838001636e-01
2.631578947368420907e-02 6.925207756237166919e-04 9.999999997037984922e-01 9.899999998838001636e-01
3.947368421052631360e-02 1.558171745153026427e-03 9.999999997167435817e-01 9.899999998838001636e-01
5.263157894736841813e-02 2.770083102493970783e-03 9.999999997296996623e-01 9.899999998838001636e-01
6.578947368421052266e-02 4.328254847646549434e-03 9.999999997426444187e-01 9.899999998838001636e-01
7.894736842105262720e-02 6.232686980610762165e-03 9.999999997555722997e-01 9.899999998838001636e-01
9.210526315789473173e-02 8.483379501386608540e-03 9.999999997684797526e-01 9.899999998838001636e-01
1.052631578947368363e-01 1.108033240997408943e-02 9.999999997813801000e-01 9.899999998838001636e-01
1.184210526315789408e-01 1.402354570637320483e-02 9.999999997942544683e-01 9.899999998838001636e-01
1.315789473684210453e-01 1.731301939058395301e-02 9.999999998071831264e-01 9.899999998838001636e-01
1.447368421052631637e-01 2.094875346260634263e-02 9.999999998201558604e-01 9.899999998838001636e-01
1.578947368421052544e-01 2.493074792244035637e-02 9.999999998329656137e-01 9.899999998838001636e-01
1.710526315789473450e-01 2.925900277008600114e-02 9.999999998453199535e-01 9.899999998838001636e-01
1.842105263157894635e-01 3.393351800554327696e-02 9.999999998574981008e-01 9.899999998838001636e-01
1.973684210526315819e-01 3.895429362881219076e-02 9.999999998696489367e-01 9.899999998838001636e-01
2.105263157894736725e-01 4.432132963989272867e-02 9.999999998817725722e-01 9.899999998838001636e-01
2.236842105263157632e-01 5.003462603878489762e-02 9.999999998936716095e-01 9.899999998838001636e-01
2.368421052631578816e-01 5.609418282548870455e-02 9.999999999048103660e-01 9.899999998838001636e-01
2.500000000000000000e-01 6.250000000000413558e-02 9.999999999154460806e-01 9.899999998838001636e-01
2.631578947368420907e-01 6.925207756233117684e-02 9.999999999257358496e-01 9.899999998838001636e-01
2.763157894736841813e-01 7.635041551246984914e-02 9.999999999357939151e-01 9.899999998838001636e-01
2.894736842105263275e-01 8.379501385042018025e-02 9.999999999451261168e-01 9.899999998838001636e-01
3.026315789473684181e-01 9.158587257618210076e-02 9.999999999539966877e-01 9.899999998838001636e-01
3.157894736842105088e-01 9.972299168975565231e-02 9.999999999633142345e-01 9.899999998838001636e-01
3.289473684210525994e-01 1.082063711911408488e-01 9.999999999724612509e-01 9.899999998838001636e-01
3.421052631578946901e-01 1.170360110803376624e-01 9.999999999805015971e-01 9.899999998838001636e-01
3.552631578947368363e-01 1.262119113573461349e-01 9.999999999873029344e-01 9.899999998838001636e-01
3.684210526315789269e-01 1.357340720221661690e-01 9.999999999929499728e-01 9.899999998838001636e-01
3.815789473684210176e-01 1.456024930747978341e-01 9.999999999976095788e-01 9.899999998838001636e-01
3.947368421052631637e-01 1.558171745152411303e-01 9.999999999994482192e-01 9.899999998838001636e-01
4.078947368421052544e-01 1.663781163434959742e-01 9.999999999991414645e-01 9.899999998838001636e-01
4.210526315789473450e-01 1.772853185595624492e-01 9.999999999998381295e-01 9.899999998838001636e-01
4.342105263157894357e-01 1.885387811634405553e-01 1.000000000000000000e+00 9.899999998838001636e-01
4.473684210526315264e-01 2.001385041551302924e-01 9.999999999984011678e-01 9.899999998838001636e-01
4.605263157894736725e-01 2.120844875346316605e-01 9.999999999952376983e-01 9.899999998838001636e-01
4.736842105263157632e-01 2.243767313019446041e-01 9.999999999912565496e-01 9.899999998838001636e-01
4.868421052631578538e-01 2.370152354570691788e-01 9.999999999876862944e-01 9.899999998838001636e-01
5.000000000000000000e-01 2.500000000000054401e-01 9.999999999817082985e-01 9.899999998838001636e-01
5.131578947368420351e-01 2.633310249307531659e-01 9.999999999758851787e-01 9.899999998838001636e-01
5.263157894736841813e-01 2.770083102493126614e-01 9.999999999707692711e-01 9.899999998838001636e-01
5.394736842105263275e-01 2.910318559556838158e-01 9.999999999636922654e-01 9.899999998838001636e-01
5.526315789473683626e-01 3.054016620498664070e-01 9.999999999558990549e-01 9.899999998838001636e-01
5.657894736842105088e-01 3.201177285318608234e-01 9.999999999521116401e-01 9.899999998838001636e-01
5.789473684210526550e-01 3.351800554016668987e-01 9.999999999493891512e-01 9.899999998838001636e-01
5.921052631578946901e-01 3.505886426592845218e-01 9.999999999483697444e-01 9.899999998838001636e-01
6.052631578947368363e-01 3.663434903047139146e-01 9.999999999461054445e-01 9.899999998838001636e-01
6.184210526315789824e-01 3.824445983379549108e-01 9.999999999448390131e-01 9.899999998838001636e-01
6.315789473684210176e-01 3.988919667590074547e-01 9.999999999458634159e-01 9.899999998838001636e-01
6.447368421052630527e-01 4.156855955678716574e-01 9.999999999453668131e-01 9.899999998838001636e-01
6.578947368421051989e-01 4.328254847645475745e-01 9.999999999423898611e-01 9.899999998838001636e-01
6.710526315789473450e-01 4.503116343490350948e-01 9.999999999406834483e-01 9.899999998838001636e-01
6.842105263157893802e-01 4.681440443213341629e-01 9.999999999398286876e-01 9.899999998838001636e-01
6.973684210526315264e-01 4.863227146814450008e-01 9.999999999377408022e-01 9.899999998838001636e-01
7.105263157894736725e-01 5.048476454293674420e-01 9.999999999331103950e-01 9.899999998838001636e-01
7.236842105263157077e-01 5.237188365651013200e-01 9.999999999250862581e-01 9.899999998838001636e-01
7.368421052631578538e-01 5.429362880886469123e-01 9.999999999194248979e-01 9.899999998838001636e-01
7.500000000000000000e-01 5.625000000000042188e-01 9.999999999103008630e-01 9.899999998838001636e-01
7.631578947368420351e-01 5.824099722991729067e-01 9.999999998999373751e-01 9.899999998838001636e-01
7.763157894736841813e-01 6.026662049861534198e-01 9.999999998902845411e-01 9.899999998838001636e-01
7.894736842105263275e-01 6.232686980609455363e-01 9.999999998793502876e-01 9.899999998838001636e-01
8.026315789473683626e-01 6.442174515235491450e-01 9.999999998714536042e-01 9.899999998838001636e-01
8.157894736842105088e-01 6.655124653739645790e-01 9.999999998602733253e-01 9.899999998838001636e-01
8.289473684210526550e-01 6.871537396121916164e-01 9.999999998532859147e-01 9.899999998838001636e-01
8.421052631578946901e-01 7.091412742382301460e-01 9.999999998477089314e-01 9.899999998838001636e-01
8.552631578947367252e-01 7.314750692520803899e-01 9.999999998413225955e-01 9.899999998838001636e-01
8.684210526315788714e-01 7.541551246537423481e-01 9.999999998309274662e-01 9.899999998838001636e-01
8.815789473684210176e-01 7.771814404432159096e-01 9.999999998187339978e-01 9.899999998838001636e-01
