x U E refE
-1.000000000000000000e+00 0.000000000000000000e+00 4.565617974355884823e-33 5.240240470590824123e-02
-8.947368421052631637e-01 -6.564605296236295070e-17 3.195932582049125808e-32 5.240240470590824123e-02
-7.894736842105263275e-01 -1.312921059247259014e-16 8.674674151276185953e-32 5.240240470590824123e-02
-6.842105263157894912e-01 -1.969381588870888274e-16 1.689278650511680190e-31 5.240240470590824123e-02
-5.789473684210526550e-01 -2.625842118494518028e-16 2.785026964357092876e-31 5.240240470590824123e-02
-4.736842105263158187e-01 -3.282302648118147288e-16 4.154712356663859828e-31 5.240240470590824123e-02
-3.684210526315789824e-01 -3.938763177741777042e-16 5.798334827431992432e-31 5.240240470590824123e-02
-2.631578947368421462e-01 -4.595223707365414684e-16 2.048526773251555037e-22 5.240240470590824123e-02
-1.578947368421053099e-01 -1.488432249447193133e-11 2.851358289018495352e-03 5.240240470590824123e-02
-5.263157894736847364e-02 -6.265679758970495172e-02 1.000000000000000000e+00 5.240240470590824123e-02
5.263157894736836262e-02 -6.265679758970550683e-02 2.851358289018536118e-03 5.240240470590824123e-02
1.578947368421053099e-01 -1.488418402638288967e-11 2.048467847603036967e-22 5.240240470590824123e-02
2.631578947368420351e-01 -3.383627928401343693e-16 3.143801917948357311e-31 5.240240470590824123e-02
3.684210526315787604e-01 -2.900252510058288818e-16 2.252645468766145269e-31 5.240240470590824123e-02
4.736842105263157077e-01 -2.416877091715240353e-16 1.510015094447635599e-31 5.240240470590824123e-02
5.789473684210526550e-01 -1.933501673372192135e-16 9.159107949928262209e-32 5.240240470590824123e-02
6.842105263157893802e-01 -1.450126255029144656e-16 4.703325704017221158e-32 5.240240470590824123e-02
7.894736842105261054e-01 -9.667508366860972999e-17 1.732804206743192879e-32 5.240240470590824123e-02
8.947368421052630527e-01 -4.833754183430487116e-17 2.475434581061704944e-33 5.240240470590824123e-02
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.240240470590824123e-02
