x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.020595946255295761e-01
1.315789473684210453e-02 5.564704556659092610e-02 1.247396393304434636e-01 1.020595946255295761e-01
2.631578947368420907e-02 8.838672807920855412e-02 6.822694339221296866e-02 1.020595946255295761e-01
3.947368421052631360e-02 1.158473325914233243e-01 4.797682086122137535e-02 1.020595946255295761e-01
5.263157894736841813e-02 1.403582157702833177e-01 1.415940729003804521e-01 1.020595946255295761e-01
7.894736842105262720e-02 1.839496894900963797e-01 9.590938432172120554e-02 1.020595946255295761e-01
1.052631578947368363e-01 2.228587724623289634e-01 7.296328969501998662e-02 1.020595946255295761e-01
1.315789473684210453e-01 2.586197513576373730e-01 5.930804857099199190e-02 1.020595946255295761e-01
1.578947368421052544e-01 2.920568861608855427e-01 5.027816374910153152e-02 1.020595946255295761e-01
1.842105263157894635e-01 3.236775766569138790e-01 4.385418335555353597e-02 1.020595946255295761e-01
2.105263157894736725e-01 3.538221678610067311e-01 1.463982700938233905e-01 1.020595946255295761e-01
2.631578947368420907e-01 4.105901458377130275e-01 1.153501945046214588e-01 1.020595946255295761e-01
3.157894736842105088e-01 4.636692512580728454e-01 9.469861307952638640e-02 1.020595946255295761e-01
3.684210526315789269e-01 5.138649310743101939e-01 7.990884298295118648e-02 1.020595946255295761e-01
4.210526315789473450e-01 5.617174493217196307e-01 6.871956375620059954e-02 1.020595946255295761e-01
4.736842105263157632e-01 6.076114198774333897e-01 5.988565537270063716e-02 1.020595946255295761e-01
5.263157894736841813e-01 6.518329221978131915e-01 5.266915994967873854e-02 1.020595946255295761e-01
5.789473684210526550e-01 6.946020397558111403e-01 4.660709057581817472e-02 1.020595946255295761e-01
6.315789473684210176e-01 7.360926748973856126e-01 4.139553360889638989e-02 1.020595946255295761e-01
6.842105263157893802e-01 7.764452620282934481e-01 3.682756260682051863e-02 1.020595946255295761e-01
7.368421052631578538e-01 8.157752747597014631e-01 3.275803966171446369e-02 1.020595946255295761e-01
7.894736842105263275e-01 8.541791192833847468e-01 2.908272830474596324e-02 1.020595946255295761e-01
8.421052631578946901e-01 8.917383374827280162e-01 2.572545327959326403e-02 1.020595946255295761e-01
8.947368421052630527e-01 9.285226796909678004e-01 2.263003000902233039e-02 1.020595946255295761e-01
9.473684210526315264e-01 9.645923995396267214e-01 1.975520658091605569e-02 1.020595946255295761e-01
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.020595946255295761e-01
