x U E refE
-1.000000000000000000e+00 3.720075976020836120e-44 1.908884173338380256e-29 1.781688623818828976e-01
-8.947368421052631637e-01 2.107455963657979542e-16 1.336218921333537059e-28 1.781688623818828976e-01
-7.894736842105263275e-01 4.214911927307413256e-16 3.626851238752817609e-28 1.781688623818828976e-01
-6.842105263157894912e-01 6.322321250550834280e-16 6.559593307153044133e-28 1.781688623818828976e-01
-5.789473684210526550e-01 -1.932350932993806971e-15 8.590571001763090119e-18 1.781688623818828976e-01
-4.736842105263158187e-01 -1.800693643145929682e-10 3.715773758166442069e-10 1.781688623818828976e-01
-3.684210526315789824e-01 -1.273925852307410452e-06 1.697067202116834411e-04 1.781688623818828976e-01
-2.631578947368421462e-01 -9.826989351092222085e-04 6.604348691567311080e-01 1.781688623818828976e-01
-1.578947368421053099e-01 -8.265542718143324696e-02 2.944672162838075646e-01 1.781688623818828976e-01
-1.052631578947368918e-01 -3.302077619371554529e-01 2.458223393303764215e-02 1.781688623818828976e-01
-5.263157894736847364e-02 -7.580481975148219975e-01 9.999999999999968914e-01 1.781688623818828976e-01
-5.551115123125782702e-17 -9.999999999999980016e-01 1.000000000000000000e+00 1.781688623818828976e-01
5.263157894736836262e-02 -7.580481975148228857e-01 2.458223393303770460e-02 1.781688623818828976e-01
1.052631578947368363e-01 -3.302077619371558970e-01 2.944672162838113394e-01 1.781688623818828976e-01
1.578947368421053099e-01 -8.265542718143330247e-02 6.604348691567309970e-01 1.781688623818828976e-01
2.631578947368420351e-01 -9.826989351092354358e-04 1.697067202116908679e-04 1.781688623818828976e-01
3.684210526315787604e-01 -1.273925852313838374e-06 3.715773758240279312e-10 1.781688623818828976e-01
4.736842105263157077e-01 -1.800693696540052032e-10 8.590571920092452617e-18 1.781688623818828976e-01
5.789473684210526550e-01 -1.936622461265831306e-15 6.604084680208131753e-28 1.781688623818828976e-01
6.842105263157893802e-01 6.290284788510659655e-16 3.590188532390788894e-28 1.781688623818828976e-01
7.894736842105261054e-01 4.193554285947300455e-16 1.322711554902206216e-28 1.781688623818828976e-01
8.947368421052630527e-01 2.096777142977923142e-16 1.889587935579316618e-29 1.781688623818828976e-01
1.000000000000000000e+00 3.720075976020836120e-44 0.000000000000000000e+00 1.781688623818828976e-01
