x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.494292640832666025e-02
2.631578947368420907e-02 8.845803652007563911e-02 1.290012183061562019e-02 5.494292640832666025e-02
5.263157894736841813e-02 1.404275969559918291e-01 6.437906151398893606e-02 5.494292640832666025e-02
1.052631578947368363e-01 2.229242991377203276e-01 1.594932465982059830e-02 5.494292640832666025e-02
1.578947368421052544e-01 2.921185583259597873e-01 6.509940771510160963e-03 5.494292640832666025e-02
2.105263157894736725e-01 3.538799855157637730e-01 3.357079270330307411e-03 5.494292640832666025e-02
2.631578947368420907e-01 4.106441089821528667e-01 1.984305414550224887e-03 5.494292640832666025e-02
3.157894736842105088e-01 4.637193598921955928e-01 1.282405352947729770e-03 5.494292640832666025e-02
3.684210526315789269e-01 5.139111851981158496e-01 8.823961240240957076e-04 5.494292640832666025e-02
4.210526315789473450e-01 5.617598489352081392e-01 6.358434382480474207e-04 5.494292640832666025e-02
4.736842105263157632e-01 6.076499649806046399e-01 4.745831331075188149e-04 5.494292640832666025e-02
5.263157894736841813e-01 6.518676127906674056e-01 3.640874358808414836e-04 5.494292640832666025e-02
5.789473684210526550e-01 6.946328758383482072e-01 2.854893791494705446e-04 5.494292640832666025e-02
6.315789473684210176e-01 7.361196564696055322e-01 2.278369483965089282e-04 5.494292640832666025e-02
6.842105263157893802e-01 7.764683890901963315e-01 1.844506440085970042e-04 5.494292640832666025e-02
7.368421052631578538e-01 8.157945473112871992e-01 1.510855260857662261e-04 5.494292640832666025e-02
7.894736842105263275e-01 8.541945373246533357e-01 1.249482047650817592e-04 5.494292640832666025e-02
8.421052631578946901e-01 8.917499010136795690e-01 1.041447212384542521e-04 5.494292640832666025e-02
8.947368421052630527e-01 9.285303887116023169e-01 8.735722267951502910e-05 5.494292640832666025e-02
9.473684210526315264e-01 9.645962540499438687e-01 7.364766777666834757e-05 5.494292640832666025e-02
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 5.494292640832666025e-02
