N nx ny error
1.440000000000000000e+02 1.200000000000000000e+01 1.200000000000000000e+01 1.754873607837720631e-02
5.290000000000000000e+02 2.300000000000000000e+01 2.300000000000000000e+01 4.599081174468297104e-03
1.849000000000000000e+03 4.300000000000000000e+01 4.300000000000000000e+01 1.288176175262064444e-03
6.561000000000000000e+03 8.100000000000000000e+01 8.100000000000000000e+01 3.587239445513068265e-04
2.280100000000000000e+04 1.510000000000000000e+02 1.510000000000000000e+02 1.025656598827813840e-04
8.065600000000000000e+04 2.840000000000000000e+02 2.840000000000000000e+02 2.889346680240956845e-05
