N nx ny error
3.200000000000000000e+02 1.600000000000000000e+01 2.000000000000000000e+01 7.739228463559264665e-03
3.400000000000000000e+02 1.700000000000000000e+01 2.000000000000000000e+01 7.232195624989808461e-03
3.800000000000000000e+02 1.900000000000000000e+01 2.000000000000000000e+01 6.437292255230691457e-03
4.000000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+01 6.122422604366481967e-03
4.400000000000000000e+02 2.200000000000000000e+01 2.000000000000000000e+01 5.611635142144414529e-03
4.800000000000000000e+02 2.400000000000000000e+01 2.000000000000000000e+01 5.218650794506744274e-03
