N nx ny error
3.240000000000000000e+02 1.800000000000000000e+01 1.800000000000000000e+01 7.600193565039489035e-03
3.240000000000000000e+02 1.800000000000000000e+01 1.800000000000000000e+01 7.600193565039489035e-03
3.610000000000000000e+02 1.900000000000000000e+01 1.900000000000000000e+01 6.801613607837783335e-03
4.000000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+01 6.122422604366481967e-03
4.410000000000000000e+02 2.100000000000000000e+01 2.100000000000000000e+01 5.539985695085225363e-03
4.840000000000000000e+02 2.200000000000000000e+01 2.200000000000000000e+01 5.036782311343133631e-03
