N err
8.000000000000000000e+00 3.995120944112219519e+01
1.600000000000000000e+01 8.832194875043720472e+00
3.200000000000000000e+01 2.673785611667163220e+00
6.400000000000000000e+01 1.015326559554571073e+00
1.280000000000000000e+02 4.401137471164878745e-01
2.560000000000000000e+02 2.046737090369231404e-01
5.120000000000000000e+02 9.867239342391713464e-02
1.024000000000000000e+03 4.844233286570503311e-02
