r err
1.400000000000000000e+01 2.506260246300701056e+02
3.000000000000000000e+01 9.040113046445452660e-01
6.200000000000000711e+01 3.109399770745698843e-01
1.260000000000000142e+02 7.943416111163648097e-02
2.540000000000000284e+02 1.959635087897065864e-02
5.100000000000000568e+02 4.847882579985873103e-03
1.022000000000000114e+03 1.204468974415701761e-03
2.046000000000000000e+03 2.998242564121749885e-04
