M N err
8.000000000000000000e+00 1.350000000000000089e+00 1.933268907436513473e+04
1.600000000000000000e+01 1.750000000000000000e+00 1.933268907436513473e+04
3.200000000000000000e+01 2.549999999999999822e+00 1.281468989860221154e+04
6.400000000000000000e+01 4.150000000000000355e+00 2.809595586447437654e+02
1.280000000000000000e+02 7.349999999999999645e+00 9.834534991110494007e-01
2.560000000000000000e+02 1.375000000000000000e+01 4.623367680899310161e-01
5.120000000000000000e+02 2.655000000000000071e+01 1.229888998513269105e-01
1.024000000000000000e+03 5.214999999999999858e+01 3.049367253757799892e-02
