M N err
8.000000000000000000e+00 1.500000000000000000e+01 1.114324415724835582e+01
1.600000000000000000e+01 3.100000000000000000e+01 2.912661547309682408e+00
3.200000000000000000e+01 6.300000000000000000e+01 1.050961283907402732e+00
6.400000000000000000e+01 1.270000000000000000e+02 4.468245831086563036e-01
1.280000000000000000e+02 2.550000000000000000e+02 2.061190846090688034e-01
2.560000000000000000e+02 5.110000000000000000e+02 9.900706877382468851e-02
5.120000000000000000e+02 1.023000000000000000e+03 4.852277331962148027e-02
1.024000000000000000e+03 2.047000000000000000e+03 2.402015035878638655e-02
