M err
8.000000000000000000e+00 1.508622349049676958e-01
1.600000000000000000e+01 2.334191522606155617e-02
3.200000000000000000e+01 5.660139072360371396e-04
6.400000000000000000e+01 6.348754107806767709e-03
1.280000000000000000e+02 7.710573673721177017e-03
2.560000000000000000e+02 8.041797887519165633e-03
5.120000000000000000e+02 8.126031271346589868e-03
1.024000000000000000e+03 8.146109519069556770e-03
