M err
8.000000000000000000e+00 8.324486602021839878e-06
1.600000000000000000e+01 3.108080635406161294e-06
3.200000000000000000e+01 2.075699157775495189e-06
6.400000000000000000e+01 1.845430076295003562e-06
1.280000000000000000e+02 1.786977320111062004e-06
2.560000000000000000e+02 1.773173351459731389e-06
5.120000000000000000e+02 1.769626661379598883e-06
1.024000000000000000e+03 1.768767504003942277e-06
