M err
8.000000000000000000e+00 1.089202935538956261e+10
1.600000000000000000e+01 1.733871607520590452e+50
3.200000000000000000e+01 nan
6.400000000000000000e+01 1.786581827483255438e+02
1.280000000000000000e+02 1.566905418583049159e-02
2.560000000000000000e+02 7.672016296456889671e-03
5.120000000000000000e+02 3.720563944050537045e-03
1.024000000000000000e+03 1.756443709053530193e-03
