r err
1.400000000000000000e+01 2.548512074268762433e+02
3.000000000000000000e+01 9.035435284404474965e-01
6.200000000000000711e+01 3.104237525688843813e-01
1.260000000000000142e+02 7.924365507839646605e-02
2.540000000000000284e+02 1.955981274310867463e-02
5.100000000000000568e+02 4.834942384959474947e-03
1.022000000000000114e+03 1.200533648223806819e-03
2.046000000000000000e+03 2.990300073055819088e-04
