M err
8.000000000000000000e+00 4.154104613156966975e-04
1.600000000000000000e+01 9.619849827121702758e-05
3.200000000000000000e+01 3.362126322159445934e-05
6.400000000000000000e+01 1.414709503756379883e-05
1.280000000000000000e+02 6.473269408664340982e-06
2.560000000000000000e+02 3.067789612425620178e-06
5.120000000000000000e+02 1.463709197372767627e-06
1.024000000000000000e+03 6.853526928195360910e-07
