M err
8.000000000000000000e+00 7.520302137951109835e-06
1.600000000000000000e+01 1.500868340651953245e-06
3.200000000000000000e+01 3.501365426787527926e-07
6.400000000000000000e+01 1.060020813677018476e-07
1.280000000000000000e+02 7.408775787572294584e-08
2.560000000000000000e+02 7.143104608618306885e-08
5.120000000000000000e+02 7.199549456198189824e-08
1.024000000000000000e+03 7.192519940154145889e-08
