M N err
8.000000000000000000e+00 9.900000000000001421e+01 1.695396158746283188e-01
1.600000000000000000e+01 4.510000000000000000e+02 3.627586394425019733e-02
3.200000000000000000e+01 1.923000000000000227e+03 8.457895847639685868e-03
6.400000000000000000e+01 7.939000000000000909e+03 2.045856160007533675e-03
1.280000000000000000e+02 3.225900000000000364e+04 5.033206926244643189e-04
