M N err
8.000000000000000000e+00 3.450000000000000178e+00 5.634534147701016309e+02
1.600000000000000000e+01 1.225000000000000000e+01 1.618823929752477042e+01
3.200000000000000000e+01 4.905000000000000426e+01 1.462132557017646439e+00
6.400000000000000000e+01 1.994500000000000455e+02 2.713129049441195817e-01
1.280000000000000000e+02 8.074500000000000455e+02 6.229944784657896750e-02
2.560000000000000000e+02 3.252250000000000455e+03 1.518981934535998217e-02
