M err
8.000000000000000000e+00 1.597516115544923565e-01
1.600000000000000000e+01 3.157775129966848560e-02
3.200000000000000000e+01 7.652032731142432639e-03
6.400000000000000000e+01 1.736923598295547896e-03
1.280000000000000000e+02 3.652423677431200239e-04
2.560000000000000000e+02 3.220289329354158921e-05
5.120000000000000000e+02 5.313695445952454604e-05
1.024000000000000000e+03 7.331319885962300363e-05
