M N err
8.000000000000000000e+00 5.900000000000000355e+00 6.629356602868922144e-01
1.600000000000000000e+01 2.350000000000000000e+01 1.243479373967942558e-01
3.200000000000000000e+01 9.710000000000000853e+01 2.405839904879843530e-04
6.400000000000000000e+01 3.979000000000000909e+02 1.535594413931981725e-03
1.280000000000000000e+02 1.613900000000000091e+03 4.725561853213456785e-04
