M N err
8.000000000000000000e+00 6.633333333333332860e+01 1.280001355418597830e+00
1.600000000000000000e+01 3.010000000000000000e+02 2.137961125150732722e-01
3.200000000000000000e+01 1.282333333333333485e+03 4.729011154696934754e-02
6.400000000000000000e+01 5.293000000000000909e+03 1.129656193185759293e-02
1.280000000000000000e+02 2.150633333333333576e+04 2.770980560733378711e-03
