r err
1.400000000000000000e+01 2.492995053147128317e+02
3.000000000000000000e+01 4.036704122486957402e+01
6.200000000000000711e+01 8.875009394616142799e+00
1.260000000000000142e+02 2.678727462265184212e+00
2.540000000000000284e+02 1.016128409324938975e+00
5.100000000000000568e+02 4.402617521072303974e-01
1.022000000000000114e+03 2.047049349649214811e-01
2.046000000000000000e+03 9.867980959777811201e-02
