M N err
8.000000000000000000e+00 9.900000000000001421e+01 1.506785563235013004e-01
1.600000000000000000e+01 4.510000000000000000e+02 3.125606405979328151e-02
3.200000000000000000e+01 1.923000000000000227e+03 7.710861728661603555e-03
6.400000000000000000e+01 7.939000000000000909e+03 1.815908391048655455e-03
1.280000000000000000e+02 3.225900000000000364e+04 4.453432443183838918e-04
