N err
8.000000000000000000e+00 9.101855139095303970e-01
1.600000000000000000e+01 3.169160516506939751e-01
3.200000000000000000e+01 8.116664743284628114e-02
6.400000000000000000e+01 2.004894977178350857e-02
1.280000000000000000e+02 4.952069880122918037e-03
2.560000000000000000e+02 1.224292477044458495e-03
5.120000000000000000e+02 2.994788007792401670e-04
1.024000000000000000e+03 6.918498051646863032e-05
