r err
7.000000000000000000e+00 4.285977292957718987e+01
1.500000000000000000e+01 9.048326203991246430e+00
3.100000000000000355e+01 2.697393340588624788e+00
6.300000000000000711e+01 1.018892841508445501e+00
1.270000000000000142e+02 4.407863143252689353e-01
2.550000000000000284e+02 2.048184168456051446e-01
5.110000000000000568e+02 9.870582936554136988e-02
1.023000000000000000e+03 4.845032418524680695e-02
