M N err
8.000000000000000000e+00 4.500000000000000000e+00 2.535360273205197927e+02
1.600000000000000000e+01 8.500000000000000000e+00 4.056862495896546505e+01
3.200000000000000000e+01 1.650000000000000000e+01 8.882405533944931264e+00
6.400000000000000000e+01 3.250000000000000000e+01 2.679488688089032955e+00
1.280000000000000000e+02 6.450000000000000000e+01 1.016203512086667260e+00
2.560000000000000000e+02 1.285000000000000000e+02 4.402804736472084035e-01
5.120000000000000000e+02 2.565000000000000000e+02 2.047096811181856879e-01
1.024000000000000000e+03 5.125000000000000000e+02 9.868068224648907094e-02
