M N err
8.000000000000000000e+00 5.900000000000000355e+00 1.369568186956308011e+02
1.600000000000000000e+01 2.350000000000000000e+01 4.675733768850718342e+00
3.200000000000000000e+01 9.710000000000000853e+01 6.192337588025426109e-01
6.400000000000000000e+01 3.979000000000000909e+02 1.306284019588347667e-01
1.280000000000000000e+02 1.613900000000000091e+03 3.102550838662312960e-02
