Ndof M N err
6.400000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 8.760819428226646055e-01
2.560000000000000000e+02 1.600000000000000000e+01 1.600000000000000000e+01 2.887751702412138521e-01
1.024000000000000000e+03 3.200000000000000000e+01 3.200000000000000000e+01 7.317890210548169683e-02
4.096000000000000000e+03 6.400000000000000000e+01 6.400000000000000000e+01 1.803769374028663108e-02
1.638400000000000000e+04 1.280000000000000000e+02 1.280000000000000000e+02 4.457694934947400642e-03
6.553600000000000000e+04 2.560000000000000000e+02 2.560000000000000000e+02 1.106858698722292108e-03
2.621440000000000000e+05 5.120000000000000000e+02 5.120000000000000000e+02 2.757041663325880449e-04
1.048576000000000000e+06 1.024000000000000000e+03 1.024000000000000000e+03 6.879583904976618370e-05
