N err
8.000000000000000000e+00 9.101868768313955416e-01
1.600000000000000000e+01 3.169216621006591961e-01
3.200000000000000000e+01 8.117348759775408484e-02
6.400000000000000000e+01 2.005608872842737367e-02
1.280000000000000000e+02 4.959282144841360880e-03
2.560000000000000000e+02 1.231524457157075333e-03
5.120000000000000000e+02 3.067183607673135246e-04
1.024000000000000000e+03 7.648787832703596822e-05
