r err
3.500000000000000000e+00 2.248992710125820582e-01
7.500000000000000000e+00 5.206409507324252089e-02
1.550000000000000178e+01 1.234674910302226321e-02
3.150000000000000355e+01 2.998312117943267505e-03
6.350000000000000711e+01 7.383443880111423578e-04
1.275000000000000142e+02 1.831731196861415207e-04
2.555000000000000284e+02 4.561618481479638607e-05
5.115000000000000000e+02 1.138198689335598193e-05
