M N err
8.000000000000000000e+00 1.700000000000000178e+00 1.901090506781803924e+04
1.600000000000000000e+01 2.500000000000000000e+00 1.275279358905091613e+04
3.200000000000000000e+01 4.099999999999999645e+00 2.797008173266110589e+02
6.400000000000000000e+01 7.300000000000000711e+00 9.833779461310225845e-01
1.280000000000000000e+02 1.369999999999999929e+01 4.621118685301872642e-01
2.560000000000000000e+02 2.650000000000000000e+01 1.229147454656867866e-01
5.120000000000000000e+02 5.210000000000000142e+01 3.047465928729852294e-02
1.024000000000000000e+03 1.032999999999999972e+02 7.674727265699370603e-03
