Ndof M N err
4.000000000000000568e+02 8.000000000000000000e+00 5.000000000000000711e+01 1.759463517625868167e+00
3.616000000000000000e+03 1.600000000000000000e+01 2.260000000000000000e+02 2.774287580833924571e-01
3.078400000000000364e+04 3.200000000000000000e+01 9.620000000000001137e+02 6.045166454883472290e-02
2.540800000000000291e+05 6.400000000000000000e+01 3.970000000000000455e+03 1.439350106567304118e-02
2.064640000000000233e+06 1.280000000000000000e+02 1.613000000000000182e+04 3.527627330137238486e-03
1.664665600000000186e+07 2.560000000000000000e+02 6.502600000000000728e+04 8.741345476578374178e-04
