M N err
8.000000000000000000e+00 1.350000000000000089e+00 1.901090506781803924e+04
1.600000000000000000e+01 1.750000000000000000e+00 1.926214300181961153e+04
3.200000000000000000e+01 2.549999999999999822e+00 1.280373668789718067e+04
6.400000000000000000e+01 4.150000000000000355e+00 2.809066456997390446e+02
1.280000000000000000e+02 7.349999999999999645e+00 9.834541154732264756e-01
2.560000000000000000e+02 1.375000000000000000e+01 4.623437569737533503e-01
5.120000000000000000e+02 2.655000000000000071e+01 1.229923549997745391e-01
1.024000000000000000e+03 5.214999999999999858e+01 3.049444259212877664e-02
