M err
8.000000000000000000e+00 4.914530427817481381e-03
1.600000000000000000e+01 5.013729199697253280e-03
3.200000000000000000e+01 5.601195852247002789e-03
6.400000000000000000e+01 6.448743208940834956e-03
1.280000000000000000e+02 9.809665894061271596e-03
2.560000000000000000e+02 3.537326038587518262e-02
5.120000000000000000e+02 3.717900139572406087e-02
1.024000000000000000e+03 1.398864670212974226e-01
