Ndof M N err
6.400000000000000000e+01 8.000000000000000000e+00 8.000000000000000000e+00 4.212980788184401604e+01
2.560000000000000000e+02 1.600000000000000000e+01 1.600000000000000000e+01 8.999597791829684112e+00
1.024000000000000000e+03 3.200000000000000000e+01 3.200000000000000000e+01 2.694626212760779183e+00
4.096000000000000000e+03 6.400000000000000000e+01 6.400000000000000000e+01 1.018475167427053352e+00
1.638400000000000000e+04 1.280000000000000000e+02 1.280000000000000000e+02 4.407326462424435154e-01
6.553600000000000000e+04 2.560000000000000000e+02 2.560000000000000000e+02 2.048027560363412658e-01
2.621440000000000000e+05 5.120000000000000000e+02 5.120000000000000000e+02 9.870150083470695390e-02
1.048576000000000000e+06 1.024000000000000000e+03 1.024000000000000000e+03 4.844949143369148975e-02
