M err
8.000000000000000000e+00 3.775308999573333724e-04
1.600000000000000000e+01 9.125558056102966325e-05
3.200000000000000000e+01 3.211111192095329064e-05
6.400000000000000000e+01 1.324547559610895433e-05
1.280000000000000000e+02 5.700174025112726722e-06
2.560000000000000000e+02 2.337573469386846377e-06
5.120000000000000000e+02 7.511799763461895647e-07
1.024000000000000000e+03 1.838091234944463620e-08
