N err
8.000000000000000000e+00 9.101868775069007489e-01
1.600000000000000000e+01 3.169216556646400340e-01
3.200000000000000000e+01 8.117347980717641576e-02
6.400000000000000000e+01 2.005608017797537099e-02
1.280000000000000000e+02 4.959273310253595538e-03
2.560000000000000000e+02 1.231515815435874940e-03
5.120000000000000000e+02 3.067095877551131956e-04
1.024000000000000000e+03 7.647912903757263020e-05
