x U
-1.000000000000000000e+00 -1.238703197463423139e-01
-9.591836734693877098e-01 4.038958686841994349e-03
-9.183673469387755306e-01 1.318819175300827706e-01
-8.775510204081632404e-01 2.575593789335175465e-01
-8.367346938775510612e-01 3.790077224555138402e-01
-7.959183673469387710e-01 4.942327696529871250e-01
-7.551020408163264808e-01 6.013425284365996326e-01
-7.142857142857143016e-01 6.985782595282554741e-01
-6.734693877551021224e-01 7.843433549117334591e-01
-6.326530612244898322e-01 8.572295540918660750e-01
-5.918367346938775420e-01 9.160400676932362041e-01
-5.510204081632653628e-01 9.598092287083427321e-01
-5.102040816326530726e-01 9.878183487234502014e-01
-4.693877551020408934e-01 9.996075187621981106e-01
-4.285714285714286031e-01 9.949831609785431130e-01
-3.877551020408164240e-01 9.740212071993844534e-01
-3.469387755102041337e-01 9.370658521263115492e-01
-3.061224489795918435e-01 8.847239016678769552e-01
-2.653061224489796643e-01 8.178548092036013184e-01
-2.244897959183673741e-01 7.375565633829838097e-01
-1.836734693877551949e-01 6.451476591825071605e-01
-1.428571428571429047e-01 5.421454482542836795e-01
-1.020408163265307255e-01 4.302412240541861332e-01
-6.122448979591843532e-02 3.112724508497362597e-01
-2.040816326530614511e-02 1.871925926079684444e-01
2.040816326530614511e-02 6.003903717075222135e-02
6.122448979591821328e-02 -6.810035759689413160e-02
1.020408163265305035e-01 -1.951215463755802126e-01
1.428571428571427937e-01 -3.189388447571620544e-01
1.836734693877550839e-01 -4.375191761254141332e-01
2.244897959183671521e-01 -5.489154547175155718e-01
2.653061224489794423e-01 -6.512985567187830060e-01
3.061224489795917325e-01 -7.429873544248096762e-01
3.469387755102040227e-01 -8.224763203122137378e-01
3.877551020408163129e-01 -8.884602477586389657e-01
4.285714285714283811e-01 -9.398556824997128523e-01
4.693877551020406713e-01 -9.758187129178200747e-01
5.102040816326529615e-01 -9.957588270478138215e-01
5.510204081632652517e-01 -9.993486087668913553e-01
5.918367346938773199e-01 -9.865291139585270486e-01
6.326530612244896101e-01 -9.575108383730098760e-01
6.734693877551019003e-01 -9.127702612932433457e-01
7.142857142857141906e-01 -8.530420217579222086e-01
7.551020408163264808e-01 -7.793068558089670805e-01
7.959183673469385489e-01 -6.927754928327243267e-01
8.367346938775508391e-01 -5.948687754169813546e-01
8.775510204081631294e-01 -4.871943291549313826e-01
9.183673469387754196e-01 -3.715201654773610529e-01
9.591836734693877098e-01 -2.497456509538992231e-01
1.000000000000000000e+00 -1.238703197463423139e-01
