x U
-1.000000000000000000e+00 -1.127444855022926157e-01
-9.959919839679358677e-01 -1.003927159028963623e-01
-9.919839679358717355e-01 -8.643205377559286251e-02
-9.879759519038076032e-01 -7.427822759064005298e-02
-9.839679358717434710e-01 -6.035606835549413990e-02
-9.799599198396793387e-01 -4.831026070736028216e-02
-9.759519038076152064e-01 -3.447173487433395633e-02
-9.719438877755510742e-01 -2.246263498950892487e-02
-9.679358717434869419e-01 -8.745798894043104246e-03
-9.639278557114228096e-01 3.280249801778237391e-03
-9.599198396793586774e-01 1.684547523653891210e-02
-9.559118236472945451e-01 2.892577741476838257e-02
-9.519038076152304129e-01 4.231794815585213088e-02
-9.478957915831662806e-01 5.447503323388712404e-02
-9.438877755511022594e-01 6.768095000167985431e-02
-9.398797595190381271e-01 7.992434994118734204e-02
-9.358717434869739948e-01 9.293838830162622078e-02
-9.318637274549098626e-01 1.052665425586523373e-01
-9.278557114228457303e-01 1.180896690698908374e-01
-9.238476953907815981e-01 1.304918854249746685e-01
-9.198396793587174658e-01 1.431304703864719474e-01
-9.158316633266533335e-01 1.555888758378612402e-01
-9.118236472945892013e-01 1.680533991059206533e-01
-9.078156312625250690e-01 1.805448224684471081e-01
-9.038076152304609368e-01 1.928485543444539985e-01
-8.997995991983968045e-01 2.053462910086742144e-01
-8.957915831663326722e-01 2.175040157734987600e-01
-8.917835671342685400e-01 2.299794346687497049e-01
-8.877755511022044077e-01 2.420062702858367110e-01
-8.837675350701402754e-01 2.544302329594956835e-01
-8.797595190380761432e-01 2.663405871071843345e-01
-8.757515030060120109e-01 2.786846585618453775e-01
-8.717434869739478787e-01 2.904913487373660952e-01
-8.677354709418837464e-01 3.027287889149843925e-01
-8.637274549098196141e-01 3.144423430785121543e-01
-8.597194388777554819e-01 3.265488763769184288e-01
-8.557114228456914606e-01 3.381770206204624540e-01
-8.517034068136273284e-01 3.501313883726997478e-01
-8.476953907815631961e-01 3.616787195001794908e-01
-8.436873747494990639e-01 3.734630268041552736e-01
-8.396793587174349316e-01 3.849308605419244911e-01
-8.356713426853707993e-01 3.965307341179683531e-01
-8.316633266533066671e-01 4.079171139415324054e-01
-8.276553106212425348e-01 4.193216917900925433e-01
