M E10 E100 E1000 E10000
8.000000000000000000e+00 1.506422620433582216e+00 1.431263528740557511e+00 1.430537367872006804e+00 1.430522063805047983e+00
1.600000000000000000e+01 9.922688455273643848e-01 1.027172753181612608e+00 1.022376047404453869e+00 1.021860742669550071e+00
3.200000000000000000e+01 2.464948280823638649e-01 2.769406521484321093e-01 2.754797551162481706e-01 2.753127493090798406e-01
6.400000000000000000e+01 4.379625300774722674e-02 6.853300631787362374e-02 6.831599382432709811e-02 6.827664184093680533e-02
1.280000000000000000e+02 5.569118492116784461e-03 1.680297714370656420e-02 1.692697943564082028e-02 1.691873932380007564e-02
2.560000000000000000e+02 1.763879103544231663e-02 4.021451990291914115e-03 4.207427398183627258e-03 4.206760087822376468e-03
5.120000000000000000e+02 2.060613062466137152e-02 8.606887283609362038e-04 1.047362755371602974e-03 1.048560328174577821e-03
1.024000000000000000e+03 2.133534406199856862e-02 7.508508345252783720e-05 2.600545117062491650e-04 2.617209546937852437e-04
