M E10000 E20000 E30000
5.000000000000000000e+00 1.527379158170114826e+00 1.524348595586648258e+00 1.523342670216530026e+00
1.000000000000000000e+01 1.284914673303078070e+00 1.284267491320019827e+00 1.284052201583262276e+00
1.500000000000000000e+01 1.502283781526353890e+00 1.501507571502763261e+00 1.501262791996136547e+00
2.000000000000000000e+01 6.629905158510487556e+09 6.643170934707786728e+03 7.140547598173677102e+01
2.500000000000000000e+01 1.168311965941327406e+51 2.681792325288276477e+24 2.821863585179086500e+15
3.000000000000000000e+01 2.760364315728866318e+165 5.085910062433521161e+83 1.462865317326475116e+55
