x U
-1.000000000000000000e+00 2.812367453379500115e-01
-8.947368421052631637e-01 -1.441992842867896030e-01
-7.894736842105263275e-01 -4.716396338838297897e-01
-6.842105263157894912e-01 -7.707176005112106321e-01
-5.789473684210526550e-01 -9.532662841860470859e-01
-4.736842105263158187e-01 -1.049856995754332667e+00
-3.684210526315789824e-01 -8.958599571669352279e-01
-2.631578947368421462e-01 -7.370587322592315749e-01
-1.578947368421053099e-01 -6.506574181163876647e-01
-5.263157894736847364e-02 -3.859209706334525980e-01
5.263157894736836262e-02 -1.482300250621402249e-01
1.578947368421053099e-01 1.423292033626805675e-01
2.631578947368420351e-01 3.416993156892986216e-01
3.684210526315787604e-01 5.353611886459149760e-01
4.736842105263157077e-01 8.842359881198448290e-01
5.789473684210526550e-01 9.686057933719197655e-01
6.842105263157893802e-01 9.972202027982293160e-01
7.894736842105261054e-01 8.842291092181149281e-01
8.947368421052630527e-01 6.986963095766310916e-01
1.000000000000000000e+00 4.737930457397624417e-01
