x U
-1.000000000000000000e+00 -2.904540969303741060e-01
-9.899497487437185494e-01 -2.624937928421897659e-01
-9.798994974874372099e-01 -2.231877341461005471e-01
-9.698492462311557594e-01 -1.957298572401381109e-01
-9.597989949748744198e-01 -1.582696000044549745e-01
-9.497487437185929693e-01 -1.292321089278613555e-01
-9.396984924623115187e-01 -9.424054851572286062e-02
-9.296482412060301792e-01 -6.301515306966647134e-02
-9.195979899497487287e-01 -3.034448264182658742e-02
-9.095477386934673891e-01 2.681487221939500825e-03
-8.994974874371859386e-01 3.366353515580282341e-02
-8.894472361809044880e-01 6.759330047018367871e-02
-8.793969849246231485e-01 9.767199281854581361e-02
-8.693467336683416979e-01 1.315066522896570778e-01
-8.592964824120603584e-01 1.613469210163089029e-01
-8.492462311557789079e-01 1.942652751326663652e-01
-8.391959798994974573e-01 2.242466387165160391e-01
-8.291457286432161178e-01 2.557460742530031639e-01
-8.190954773869346672e-01 2.859134648630110020e-01
-8.090452261306533277e-01 3.158293716753056701e-01
-7.989949748743718771e-01 3.459388618446379016e-01
-7.889447236180904266e-01 3.743775074844388207e-01
-7.788944723618089760e-01 4.040012214035104132e-01
-7.688442211055276365e-01 4.312270556377070241e-01
-7.587939698492462970e-01 4.598787439243480213e-01
-7.487437185929648464e-01 4.861938840240361825e-01
-7.386934673366833959e-01 5.134424394088275001e-01
-7.286432160804019453e-01 5.390867808992289012e-01
-7.185929648241206058e-01 5.646356831963709189e-01
-7.085427135678392663e-01 5.897240458946879649e-01
-6.984924623115578157e-01 6.134469414385295138e-01
-6.884422110552763652e-01 6.379478015061834650e-01
-6.783919597989949146e-01 6.598814741774468029e-01
-6.683417085427135751e-01 6.836322376068838524e-01
-6.582914572864322356e-01 7.039363952799077007e-01
-6.482412060301507850e-01 7.266839806497977783e-01
-6.381909547738693345e-01 7.455818040242168099e-01
-6.281407035175878839e-01 7.670347820157218388e-01
-6.180904522613065444e-01 7.847491277279127209e-01
-6.080402010050250938e-01 8.046283722527932669e-01
-5.979899497487437543e-01 8.213265501491074927e-01
-5.879396984924623037e-01 8.394044008856549333e-01
-5.778894472361808532e-01 8.551605535004109804e-01
-5.678391959798995137e-01 8.712827886394901578e-01
-5.577889447236180631e-01 8.860621769955067117e-01
-5.477386934673367236e-01 9.001515956126114881e-01
-5.376884422110552730e-01 9.138165200546645162e-01
-5.276381909547738225e-01 9.258607802738825221e-01
-5.175879396984924830e-01 9.381941789235569429e-01
-5.075376884422110324e-01 9.482231688696373118e-01
-4.974874371859296929e-01 9.589635765478328189e-01
-4.874371859296482423e-01 9.670227701192940506e-01
-4.773869346733667918e-01 9.759034186027955027e-01
-4.673366834170854522e-01 9.820294419043121836e-01
-4.572864321608040017e-01 9.888147093241906882e-01
-4.472361809045225511e-01 9.930179975915497392e-01
-4.371859296482412116e-01 9.975318568298937594e-01
-4.271356783919597611e-01 9.997892353575893454e-01
-4.170854271356784215e-01 1.001932396749985132e+00
-4.070351758793969710e-01 1.002190137794747304e+00
-3.969849246231155204e-01 1.001944804053775728e+00
-3.869346733668341809e-01 1.000130623832031329e+00
-3.768844221105527303e-01 9.975538021634813290e-01
-3.668341708542713908e-01 9.935946992158424251e-01
-3.567839195979899403e-01 9.888025739239030276e-01
-3.467336683417084897e-01 9.826445701351814721e-01
-3.366834170854271502e-01 9.757913767003839611e-01
-3.266331658291456996e-01 9.674171595134004598e-01
-3.165829145728643601e-01 9.586722868456749591e-01
-3.065326633165829096e-01 9.481133893299423798e-01
-2.964824120603014590e-01 9.376401414057115025e-01
-2.864321608040201195e-01 9.249814585344029449e-01
-2.763819095477386689e-01 9.129201727829215907e-01
-2.663316582914573294e-01 8.982960591798498928e-01
-2.562814070351758788e-01 8.847532869637795283e-01
-2.462311557788944283e-01 8.683359570057753718e-01
-2.361809045226130888e-01 8.533803452991433058e-01
-2.261306532663316382e-01 8.353625657814369720e-01
-2.160804020100501877e-01 8.190270988567008859e-01
-2.060301507537688481e-01 7.996020454430597946e-01
-1.959798994974873976e-01 7.818915287686858395e-01
-1.859296482412060580e-01 7.612330615477699292e-01
-1.758793969849246075e-01 7.421352237716605238e-01
-1.658291457286431569e-01 7.203816973054838479e-01
-1.557788944723618174e-01 6.998800663131139466e-01
-1.457286432160803669e-01 6.771241762671326159e-01
-1.356783919597990273e-01 6.552109257055378500e-01
-1.256281407035175768e-01 6.314971223834033864e-01
-1.155778894472361262e-01 6.081843301873438579e-01
-1.055276381909547867e-01 5.835141575135719405e-01
-9.547738693467333615e-02 5.588422976481284277e-01
-8.542713567839199662e-02 5.331868219379551910e-01
-7.537688442211054607e-02 5.072297537362395747e-01
-6.532663316582909552e-02 4.805472017942732932e-01
-5.527638190954775599e-02 4.534133668540125117e-01
-4.522613065326630544e-02 4.256693412805124810e-01
-3.517587939698496591e-02 3.974992813453467888e-01
-2.512562814070351536e-02 3.686865606420996477e-01
-1.507537688442206480e-02 3.396472051492460675e-01
-5.025125628140725276e-03 3.098022092775782887e-01
5.025125628140614253e-03 2.800786385448228444e-01
1.507537688442206480e-02 2.492921293275016936e-01
2.512562814070351536e-02 2.190777002403728746e-01
3.517587939698496591e-02 1.874981171249072154e-01
4.522613065326641646e-02 1.569839492686219973e-01
5.527638190954764497e-02 1.248128361929638358e-01
6.532663316582909552e-02 9.417770340597395040e-02
7.537688442211054607e-02 6.165781437264264420e-02
8.542713567839199662e-02 3.105947053992201209e-02
9.547738693467344717e-02 -1.542807461958692642e-03
1.055276381909548977e-01 -3.197392418555385085e-02
1.155778894472361262e-01 -6.438936925877919437e-02
1.256281407035175768e-01 -9.455327225559273518e-02
1.356783919597990273e-01 -1.265309077667326754e-01
1.457286432160804779e-01 -1.563575061755842488e-01
1.557788944723619284e-01 -1.876829650349540468e-01
1.658291457286431569e-01 -2.171276246264035314e-01
1.758793969849246075e-01 -2.476361752528513926e-01
1.859296482412060580e-01 -2.766716236380166727e-01
1.959798994974875086e-01 -3.062540018918504803e-01
2.060301507537689591e-01 -3.348592763854306154e-01
2.160804020100501877e-01 -3.634595255995570762e-01
2.261306532663316382e-01 -3.916071357072943293e-01
2.361809045226130888e-01 -4.192128603516990792e-01
2.462311557788945393e-01 -4.468557478957787543e-01
2.562814070351759899e-01 -4.734823618228653497e-01
2.663316582914572184e-01 -5.005425143173830582e-01
2.763819095477386689e-01 -5.262140330547977474e-01
2.864321608040201195e-01 -5.525746655584833356e-01
2.964824120603015700e-01 -5.773041946756821696e-01
3.065326633165830206e-01 -6.028072032504848687e-01
3.165829145728642491e-01 -6.265803968870725660e-01
3.266331658291456996e-01 -6.510302753393734099e-01
3.366834170854271502e-01 -6.737946313536210541e-01
3.467336683417086007e-01 -6.969692488232729355e-01
3.567839195979900513e-01 -7.186311994460157226e-01
3.668341708542712798e-01 -7.402988288475099710e-01
3.768844221105527303e-01 -7.607292904165613434e-01
3.869346733668341809e-01 -7.806701788505003847e-01
3.969849246231156314e-01 -7.997177273519674445e-01
4.070351758793970820e-01 -8.177474751506287332e-01
4.170854271356783105e-01 -8.352568551334991209e-01
4.271356783919597611e-01 -8.512481100607716122e-01
4.371859296482412116e-01 -8.670806230441917561e-01
4.472361809045226622e-01 -8.809792857764463525e-01
4.572864321608041127e-01 -8.950309809816124895e-01
4.673366834170853412e-01 -9.068634038168026379e-01
4.773869346733667918e-01 -9.190770862352697357e-01
4.874371859296482423e-01 -9.289457008721911935e-01
4.974874371859296929e-01 -9.393136531773070841e-01
5.075376884422111434e-01 -9.473800521411619435e-01
5.175879396984925940e-01 -9.559359782796585936e-01
5.276381909547738225e-01 -9.623925412976435112e-01
5.376884422110552730e-01 -9.691933755997145239e-01
5.477386934673367236e-01 -9.742267963174823242e-01
5.577889447236181741e-01 -9.793273426580285657e-01
5.678391959798996247e-01 -9.830794909453267616e-01
5.778894472361808532e-01 -9.865049243185082251e-01
5.879396984924623037e-01 -9.890379400375717278e-01
5.979899497487437543e-01 -9.907605457182574460e-01
6.080402010050252049e-01 -9.920334826981231924e-01
6.180904522613066554e-01 -9.919602027311182901e-01
6.281407035175878839e-01 -9.918236098994227534e-01
6.381909547738693345e-01 -9.897997326030217868e-01
6.482412060301507850e-01 -9.880121459744143353e-01
6.582914572864322356e-01 -9.838437636104936379e-01
6.683417085427136861e-01 -9.801103273326953191e-01
6.783919597989949146e-01 -9.736042522893436635e-01
6.884422110552763652e-01 -9.676330395177759058e-01
6.984924623115578157e-01 -9.586482891159384678e-01
7.085427135678392663e-01 -9.502151118459457591e-01
7.185929648241207168e-01 -9.387157205169298635e-01
7.286432160804019453e-01 -9.277243000426699249e-01
7.386934673366833959e-01 -9.138201649468130627e-01
7.487437185929648464e-01 -9.003425838297641759e-01
7.587939698492462970e-01 -8.843043912343208079e-01
7.688442211055277475e-01 -8.685877680691899139e-01
7.788944723618089760e-01 -8.508246749419282606e-01
7.889447236180904266e-01 -8.332546521388054517e-01
7.989949748743718771e-01 -8.142497386740925602e-01
8.090452261306533277e-01 -7.952696984367568778e-01
8.190954773869347783e-01 -7.754779771990960580e-01
8.291457286432160068e-01 -7.554741114239237332e-01
8.391959798994974573e-01 -7.351998945653028805e-01
8.492462311557789079e-01 -7.143745867235052893e-01
8.592964824120603584e-01 -6.936571392994176355e-01
8.693467336683418090e-01 -6.719238516398439165e-01
8.793969849246230375e-01 -6.504695459296625515e-01
8.894472361809044880e-01 -6.274080944083394451e-01
8.994974874371859386e-01 -6.046103382800892545e-01
9.095477386934673891e-01 -5.795183634219840396e-01
9.195979899497488397e-01 -5.546002170924185792e-01
9.296482412060300682e-01 -5.266615305995194785e-01
9.396984924623115187e-01 -4.989580475423975869e-01
9.497487437185929693e-01 -4.675193552617122883e-01
9.597989949748744198e-01 -4.368873245462895349e-01
9.698492462311558704e-01 -4.017918152390687059e-01
9.798994974874373209e-01 -3.690970311047801489e-01
9.899497487437185494e-01 -3.309696954046515982e-01
1.000000000000000000e+00 -2.985636346233106475e-01
