x U
-1.000000000000000000e+00 -2.611396886924690491e-02
-8.947368421052631637e-01 -4.638465118238626061e-01
-7.894736842105263275e-01 -5.645774930889605470e-01
-6.842105263157894912e-01 -7.959247078289186650e-01
-5.789473684210526550e-01 -9.525138307914065017e-01
-4.736842105263158187e-01 -9.553822490415422308e-01
-3.684210526315789824e-01 -9.537023589132560542e-01
-2.631578947368421462e-01 -7.882415119651517976e-01
-1.578947368421053099e-01 -5.357602094889650779e-01
-5.263157894736847364e-02 -2.391051682686323454e-01
5.263157894736836262e-02 1.385922569266430648e-01
1.578947368421053099e-01 4.685879165820369119e-01
2.631578947368420351e-01 7.392405128426241534e-01
3.684210526315787604e-01 9.260672845300279565e-01
4.736842105263157077e-01 9.542231761382662381e-01
5.789473684210526550e-01 8.987416261262209938e-01
6.842105263157893802e-01 7.745811609148205434e-01
7.894736842105261054e-01 5.767774736597495178e-01
8.947368421052630527e-01 5.094659974360833399e-01
1.000000000000000000e+00 2.888906049234619133e-01
