x U
-1.000000000000000000e+00 -8.058795738204368453e-01
-9.661016949152542166e-01 -7.451750229156777205e-01
-9.322033898305084332e-01 -6.507844919820778840e-01
-8.983050847457627608e-01 -5.799941293199528669e-01
-8.644067796610169774e-01 -4.748583353845749477e-01
-8.305084745762711940e-01 -3.941193226862076404e-01
-7.966101694915254106e-01 -2.836321062163423279e-01
-7.627118644067796271e-01 -1.946697178982241261e-01
-7.288135593220339548e-01 -8.366729478901085981e-02
-6.949152542372880603e-01 1.046712916914424932e-02
-6.610169491525423879e-01 1.178331244410941586e-01
-6.271186440677966045e-01 2.131320635151301990e-01
-5.932203389830508211e-01 3.133932520947184663e-01
-5.593220338983051487e-01 4.053149751791217392e-01
-5.254237288135592543e-01 4.956045158502532244e-01
-4.915254237288135819e-01 5.794956062070034664e-01
-4.576271186440677985e-01 6.574314109223990954e-01
-4.237288135593220151e-01 7.289083433693053227e-01
-3.898305084745762317e-01 7.924797615459696631e-01
-3.559322033898305593e-01 8.477413937131543786e-01
-3.220338983050847759e-01 8.952283895982674489e-01
-2.881355932203389925e-01 9.312854887747110677e-01
-2.542372881355932090e-01 9.612284985852798114e-01
-2.203389830508474256e-01 9.760494283267665550e-01
-1.864406779661016422e-01 9.872770924352353150e-01
-1.525423728813559698e-01 9.798588706175671570e-01
-1.186440677966101864e-01 9.715705966418711759e-01
-8.474576271186440302e-02 9.419506768947619735e-01
-5.084745762711861961e-02 9.138421492341742836e-01
-1.694915254237283619e-02 8.630681202753462955e-01
1.694915254237283619e-02 8.154808651581300083e-01
5.084745762711873063e-02 7.455531201209257830e-01
8.474576271186440302e-02 6.796243502787921997e-01
1.186440677966100754e-01 5.934215400754579983e-01
1.525423728813559698e-01 5.112079446637554092e-01
1.864406779661016422e-01 4.123980186970604978e-01
2.203389830508475367e-01 3.169471002614414057e-01
2.542372881355932090e-01 2.098795250920078015e-01
2.881355932203388814e-01 1.052246631751434791e-01
3.220338983050847759e-01 -5.206398104509110669e-03
3.559322033898304483e-01 -1.141456529351954352e-01
3.898305084745763427e-01 -2.226803966762942455e-01
4.237288135593220151e-01 -3.303032165726516034e-01
4.576271186440676875e-01 -4.315498001497340419e-01
4.915254237288135819e-01 -5.318839177762495485e-01
5.254237288135592543e-01 -6.206136929154010273e-01
5.593220338983051487e-01 -7.077171301134882464e-01
5.932203389830508211e-01 -7.792192411587240963e-01
6.271186440677967155e-01 -8.476466986084759681e-01
6.610169491525423879e-01 -8.981272422683796997e-01
6.949152542372880603e-01 -9.434195445263104940e-01
7.288135593220339548e-01 -9.704164189915543970e-01
7.627118644067796271e-01 -9.895583800897732596e-01
7.966101694915255216e-01 -9.923295908467277826e-01
8.305084745762711940e-01 -9.841118251644453974e-01
8.644067796610168664e-01 -9.639449838174883878e-01
8.983050847457627608e-01 -9.291605145281756073e-01
9.322033898305084332e-01 -8.895472813248839206e-01
9.661016949152543276e-01 -8.309561754180913029e-01
1.000000000000000000e+00 -7.775799179151394735e-01
