x U
-1.000000000000000000e+00 -8.007094927699812126e-02
-9.959919839679358677e-01 -6.754827780542443927e-02
-9.919839679358717355e-01 -5.476931201940761496e-02
-9.879759519038076032e-01 -4.224237110358052688e-02
-9.839679358717434710e-01 -2.944862365798723430e-02
-9.799599198396793387e-01 -1.692442360387489200e-02
-9.759519038076152064e-01 -4.124319507851836528e-03
-9.719438877755510742e-01 8.390103094051791846e-03
-9.679358717434869419e-01 2.118814298922015379e-02
-9.639278557114228096e-01 3.368572956037949040e-02
-9.599198396793586774e-01 4.647329498496036854e-02
-9.559118236472945451e-01 5.894696931163651010e-02
-9.519038076152304129e-01 7.171566691778583080e-02
-9.478957915831662806e-01 8.415833955685153578e-02
-9.438877755511022594e-01 9.689979917284106958e-02
-9.398797595190381271e-01 1.093043719070747738e-01
-9.358717434869739948e-01 1.220102527027946554e-01
-9.318637274549098626e-01 1.343696230420486637e-01
-9.278557114228457303e-01 1.470316196032648015e-01
-9.238476953907815981e-01 1.593386853277882764e-01
-9.198396793587174658e-01 1.719485336367712891e-01
-9.158316633266533335e-01 1.841961973788841800e-01
-9.118236472945892013e-01 1.967456806991240426e-01
-9.078156312625250690e-01 2.089268545593309934e-01
-9.038076152304609368e-01 2.214078092221740124e-01
-8.997995991983968045e-01 2.335154194157444130e-01
-8.957915831663326722e-01 2.459197405068801467e-01
-8.917835671342685400e-01 2.579467320368253880e-01
-8.877755511022044077e-01 2.702663789806879491e-01
-8.837675350701402754e-01 2.822057203330080588e-01
-8.797595190380761432e-01 2.944327223732275955e-01
-8.757515030060120109e-01 3.062774102302402435e-01
-8.717434869739478787e-01 3.184038718044095995e-01
-8.677354709418837464e-01 3.301469357719097886e-01
-8.637274549098196141e-01 3.421650417790204624e-01
-8.597194388777554819e-01 3.537995491229765643e-01
-8.557114228456914606e-01 3.657015700819759574e-01
-8.517034068136273284e-01 3.772206304704315283e-01
-8.476953907815631961e-01 3.889989275684574976e-01
-8.436873747494990639e-01 4.003956978142610423e-01
-8.396793587174349316e-01 4.120427278431974538e-01
-8.356713426853707993e-01 4.233104166431719273e-01
-8.316633266533066671e-01 4.348187368232627747e-01
-8.276553106212425348e-01 4.459506094893980754e-01
-8.236472945891784025e-01 4.573128821787455500e-01
-8.196392785571142703e-01 4.683022653569777760e-01
-8.156312625250501380e-01 4.795112626458514771e-01
-8.116232464929860058e-01 4.903515490179951031e-01
-8.076152304609218735e-01 5.014001572069373136e-01
-8.036072144288577412e-01 5.120848101713428857e-01
-7.995991983967936090e-01 5.229660341321640260e-01
-7.955911823647294767e-01 5.334885924586585393e-01
-7.915831663326653445e-01 5.441955598774906866e-01
-7.875751503006012122e-01 5.545496423321921720e-01
