x U
-1.000000000000000000e+00 -1.019724581020591936e+00
-9.487179487179486781e-01 -9.962450216236402589e-01
-8.974358974358974672e-01 -9.219503368072117233e-01
-8.461538461538461453e-01 -8.685841805256031556e-01
-7.948717948717949344e-01 -8.260811554187588168e-01
-7.435897435897436125e-01 -7.114848331313421426e-01
-6.923076923076922906e-01 -5.646977661322402087e-01
-6.410256410256409687e-01 -4.477750831451238200e-01
-5.897435897435897578e-01 -2.495575380437038693e-01
-5.384615384615385469e-01 -6.702106799914379909e-02
-4.871794871794872250e-01 9.586437113325239900e-02
-4.358974358974359031e-01 2.304495143962214110e-01
-3.846153846153845812e-01 3.787316839511175037e-01
-3.333333333333333703e-01 4.735488394643441734e-01
-2.820512820512820484e-01 5.845768815227668780e-01
-2.307692307692308376e-01 6.895144717074943586e-01
-1.794871794871795156e-01 7.843798738464905496e-01
-1.282051282051281937e-01 8.296989726243171326e-01
-7.692307692307698286e-02 9.073053871612283272e-01
-2.564102564102566095e-02 9.080169319963525831e-01
2.564102564102554993e-02 9.391439323896967339e-01
7.692307692307687184e-02 9.516106468279644792e-01
1.282051282051281937e-01 9.332316164095612043e-01
1.794871794871795156e-01 8.972618528613980349e-01
2.307692307692308376e-01 8.069291964179331478e-01
2.820512820512819374e-01 7.053763778056800771e-01
3.333333333333332593e-01 5.590401444875277015e-01
3.846153846153845812e-01 4.622649371525294204e-01
4.358974358974359031e-01 3.046579483091308438e-01
4.871794871794872250e-01 1.640293263860432560e-01
5.384615384615383249e-01 4.354946652097966176e-04
5.897435897435896468e-01 -1.916569801148010344e-01
6.410256410256409687e-01 -3.067669502320732322e-01
6.923076923076922906e-01 -4.383972685655016521e-01
7.435897435897436125e-01 -5.594158399662131353e-01
7.948717948717947124e-01 -6.959294211891157156e-01
8.461538461538460343e-01 -8.488971001634739721e-01
8.974358974358973562e-01 -9.280612619717723000e-01
9.487179487179486781e-01 -9.568410895760811608e-01
1.000000000000000000e+00 -1.006980925889966239e+00
