x U
-1.000000000000000000e+00 -6.353171722529231680e-01
-9.746835443037974445e-01 -5.748348172223740615e-01
-9.493670886075948889e-01 -4.980807264288064640e-01
-9.240506329113924444e-01 -4.336220220194421104e-01
-8.987341772151898889e-01 -3.519611744542042731e-01
-8.734177215189873333e-01 -2.840427233221786141e-01
-8.481012658227847778e-01 -1.998444452201313115e-01
-8.227848101265822223e-01 -1.293480811506564077e-01
-7.974683544303797778e-01 -4.486799265029307177e-02
-7.721518987341772222e-01 2.700353051194350970e-02
-7.468354430379746667e-01 1.096833156021935207e-01
-7.215189873417722222e-01 1.814688531512183567e-01
-6.962025316455695556e-01 2.604767588513173804e-01
-6.708860759493671111e-01 3.305321180210990528e-01
-6.455696202531645556e-01 4.042253241843880573e-01
-6.202531645569620000e-01 4.708057644462619318e-01
-5.949367088607595555e-01 5.377738979913583295e-01
-5.696202531645568889e-01 5.991183299203455270e-01
-5.443037974683544444e-01 6.581769296063137986e-01
-5.189873417721518889e-01 7.125889159379441562e-01
-4.936708860759493334e-01 7.627667192946077090e-01
-4.683544303797468888e-01 8.086882138900978179e-01
-4.430379746835443333e-01 8.492118558964480979e-01
-4.177215189873417778e-01 8.852866170214368502e-01
-3.924050632911392222e-01 9.155657225207900485e-01
-3.670886075949366667e-01 9.406904068437474953e-01
-3.417721518987342222e-01 9.603053582660828758e-01
-3.164556962025316666e-01 9.736673497334262795e-01
-2.911392405063291111e-01 9.823612686378271341e-01
-2.658227848101265556e-01 9.834632430650206425e-01
-2.405063291139241111e-01 9.811389813220778855e-01
-2.151898734177215555e-01 9.698109909450375321e-01
-1.898734177215190000e-01 9.565332202933052308e-01
-1.645569620253164445e-01 9.329336596573920559e-01
-1.392405063291138889e-01 9.089355046144820260e-01
-1.139240506329114444e-01 8.735426675628309434e-01
-8.860759493670888887e-02 8.392357673293415754e-01
-6.329113924050633333e-02 7.928318225566798327e-01
-3.797468354430377779e-02 7.488182483176294424e-01
-1.265822784810133328e-02 6.924673654087678543e-01
1.265822784810133328e-02 6.395514720414193777e-01
3.797468354430377779e-02 5.745735556215737505e-01
6.329113924050622231e-02 5.137716203434979922e-01
8.860759493670888887e-02 4.417127052839377455e-01
1.139240506329113334e-01 3.742581076859004541e-01
1.392405063291139999e-01 2.968579914368513761e-01
1.645569620253164445e-01 2.241997260610093523e-01
1.898734177215188890e-01 1.433569286252373287e-01
2.151898734177215555e-01 6.714941815936593950e-02
2.405063291139240000e-01 -1.511687010678621108e-02
2.658227848101266666e-01 -9.303437205882598982e-02
2.911392405063291111e-01 -1.746260103479083392e-01
3.164556962025315556e-01 -2.522616720369496579e-01
3.417721518987342222e-01 -3.310477632837205419e-01
3.670886075949366667e-01 -4.063017205385777708e-01
3.924050632911391112e-01 -4.801700365075095567e-01
4.177215189873417778e-01 -5.508911287292104220e-01
4.430379746835442223e-01 -6.178052525299645437e-01
4.683544303797468888e-01 -6.818589912397784447e-01
4.936708860759493334e-01 -7.399211746718625804e-01
5.189873417721517779e-01 -7.952670441009389579e-01
5.443037974683544444e-01 -8.427860917174153643e-01
5.696202531645568889e-01 -8.875612885094230631e-01
5.949367088607595555e-01 -9.231239430215281150e-01
6.202531645569620000e-01 -9.557296696439850914e-01
6.455696202531644445e-01 -9.782730496550420263e-01
6.708860759493671111e-01 -9.974585440524832425e-01
6.962025316455695556e-01 -1.006340258588521497e+00
7.215189873417722222e-01 -1.011278940661616277e+00
7.468354430379746667e-01 -1.006340672932504621e+00
7.721518987341771112e-01 -9.966921925573982710e-01
7.974683544303797778e-01 -9.783119134978128795e-01
8.227848101265822223e-01 -9.542635729793750299e-01
8.481012658227848888e-01 -9.233912204799828993e-01
8.734177215189873333e-01 -8.856722910639298618e-01
8.987341772151897779e-01 -8.438438341187559644e-01
9.240506329113924444e-01 -7.937067560264542410e-01
9.493670886075948889e-01 -7.430321401873388742e-01
9.746835443037973334e-01 -6.821955360235074650e-01
1.000000000000000000e+00 -6.253171400693665616e-01
