x U
-1.000000000000000000e+00 9.784931468770347029e-01
-8.571428571428572063e-01 6.385860296786868284e-01
-7.142857142857143016e-01 3.904810381976855371e-01
-5.714285714285713969e-01 9.569048033078345061e-02
-4.285714285714286031e-01 -2.773396403548472056e-01
-2.857142857142858094e-01 -5.502339787146914851e-01
-1.428571428571429047e-01 -7.819338298674363141e-01
0.000000000000000000e+00 -9.542830124879493336e-01
1.428571428571427937e-01 -9.002165203873515598e-01
2.857142857142855874e-01 -6.307078431697844545e-01
4.285714285714283811e-01 -3.947902880479644550e-01
5.714285714285713969e-01 -8.372391877464194221e-02
7.142857142857141906e-01 4.795322126468437030e-01
8.571428571428569843e-01 1.022660282358406780e+00
1.000000000000000000e+00 9.677858417153086812e-01
