x U
-1.000000000000000000e+00 -1.547057259229021597e-01
-9.933110367892976633e-01 -1.340173824585575990e-01
-9.866220735785953266e-01 -1.125664152899195497e-01
-9.799331103678929900e-01 -9.183713990764086343e-02
-9.732441471571906533e-01 -7.030057720664829868e-02
-9.665551839464883166e-01 -4.955995809937539104e-02
-9.598662207357859799e-01 -2.797817952320965848e-02
-9.531772575250836432e-01 -7.256190183312947323e-03
-9.464882943143813065e-01 1.433047475058182169e-02
-9.397993311036789699e-01 3.500352642956180982e-02
-9.331103678929766332e-01 5.655488971343149152e-02
-9.264214046822742965e-01 7.714841440935985006e-02
-9.197324414715719598e-01 9.862451801094995751e-02
-9.130434782608696231e-01 1.191076998775336820e-01
-9.063545150501672865e-01 1.404689012321263530e-01
-8.996655518394648388e-01 1.608107545820874340e-01
-8.929765886287625021e-01 1.820178090518054792e-01
-8.862876254180601654e-01 2.021872366560295842e-01
-8.795986622073578287e-01 2.232013769076009180e-01
-8.729096989966554920e-01 2.431672297389380899e-01
-8.662207357859531554e-01 2.639502420008483230e-01
-8.595317725752508187e-01 2.836813802437205823e-01
-8.528428093645484820e-01 3.041956774129234709e-01
-8.461538461538461453e-01 3.236610325534397536e-01
-8.394648829431438086e-01 3.438697241305248564e-01
-8.327759197324414719e-01 3.630383619364003778e-01
-8.260869565217391353e-01 3.829053207763788436e-01
-8.193979933110367986e-01 4.017465049715988057e-01
-8.127090301003344619e-01 4.212364308452169470e-01
-8.060200668896321252e-01 4.397196872810424928e-01
-7.993311036789297885e-01 4.587981672487915219e-01
-7.926421404682274519e-01 4.768933483703877707e-01
-7.859531772575251152e-01 4.955269139781494081e-01
-7.792642140468227785e-01 5.132042633847828661e-01
-7.725752508361204418e-01 5.313604446963124950e-01
-7.658862876254181051e-01 5.485906615926839924e-01
-7.591973244147156574e-01 5.662380380799412194e-01
-7.525083612040133207e-01 5.829923414167772489e-01
-7.458193979933109841e-01 6.001005897344348083e-01
-7.391304347826086474e-01 6.163507818379413417e-01
-7.324414715719063107e-01 6.328907205132572322e-01
-7.257525083612039740e-01 6.486092500053516341e-01
-7.190635451505016373e-01 6.645528810790058971e-01
-7.123745819397993007e-01 6.797129048934233975e-01
-7.056856187290969640e-01 6.950334525509018757e-01
-6.989966555183946273e-01 7.096088968542114683e-01
-6.923076923076922906e-01 7.242808430908755923e-01
-6.856187290969899539e-01 7.382464629221522356e-01
-6.789297658862876172e-01 7.522455802882835885e-01
-6.722408026755852806e-01 7.655770177366060247e-01
-6.655518394648829439e-01 7.788803992114857744e-01
-6.588628762541806072e-01 7.915542399564882148e-01
-6.521739130434782705e-01 8.041403260029649225e-01
-6.454849498327759338e-01 8.161341540503730396e-01
-6.387959866220735972e-01 8.279827569034257095e-01
-6.321070234113712605e-01 8.392752073547703473e-01
-6.254180602006689238e-01 8.503675325992822165e-01
-6.187290969899665871e-01 8.609383423027522353e-01
-6.120401337792642504e-01 8.712570077971283355e-01
-6.053511705685619138e-01 8.810870637347829604e-01
-5.986622073578595771e-01 8.906161159381383863e-01
-5.919732441471572404e-01 8.996875012133754845e-01
-5.852842809364549037e-01 9.084124289748650716e-01
-5.785953177257525670e-01 9.167084662730834443e-01
-5.719063545150502303e-01 9.246162121425294256e-01
-5.652173913043478937e-01 9.321215045472835969e-01
-5.585284280936455570e-01 9.392004736666078601e-01
-5.518394648829432203e-01 9.459009427232021316e-01
-5.451505016722408836e-01 9.521410093582997058e-01
-5.384615384615385469e-01 9.580239302866205842e-01
-5.317725752508362103e-01 9.634164420592461475e-01
-5.250836120401337626e-01 9.684704760276731106e-01
-5.183946488294314259e-01 9.730082559066760561e-01
-5.117056856187290892e-01 9.772234792890661659e-01
-5.050167224080267525e-01 9.809008253999086380e-01
-4.983277591973244158e-01 9.842687559478889847e-01
-4.916387959866220791e-01 9.870814392588337371e-01
-4.849498327759197425e-01 9.895950591319147005e-01
-4.782608695652174058e-01 9.915403190745964990e-01
-4.715719063545150691e-01 9.931940946808653914e-01
-4.648829431438127324e-01 9.942706327621897433e-01
-4.581939799331103957e-01 9.950605313725637835e-01
-4.515050167224080591e-01 9.952685028339910422e-01
-4.448160535117057224e-01 9.951920059430982013e-01
-4.381270903010033857e-01 9.945330095224259592e-01
-4.314381270903010490e-01 9.935891229391647927e-01
-4.247491638795987123e-01 9.920661887888874153e-01
-4.180602006688963757e-01 9.902554494495142690e-01
-4.113712374581940390e-01 9.878730252647758281e-01
-4.046822742474917023e-01 9.851975047709341515e-01
-3.979933110367892546e-01 9.819614401789726887e-01
-3.913043478260869179e-01 9.784247450724326001e-01
-3.846153846153845812e-01 9.743422743342688985e-01
-3.779264214046822445e-01 9.699495431292021186e-01
-3.712374581939799079e-01 9.650292662031639823e-01
-3.645484949832775712e-01 9.597871632055324786e-01
-3.578595317725752345e-01 9.540390252210367850e-01
-3.511705685618728978e-01 9.479557311730842928e-01
-3.444816053511705611e-01 9.413910003619281319e-01
-3.377926421404682245e-01 9.344761999578361511e-01
-3.311036789297658878e-01 9.271074440890919588e-01
-3.244147157190635511e-01 9.193723104155339110e-01
-3.177257525083612144e-01 9.112133717789926424e-01
-3.110367892976588777e-01 9.026705477415895018e-01
-3.043478260869565410e-01 8.937365167235855612e-01
-2.976588628762542044e-01 8.844000935271341124e-01
-2.909698996655518677e-01 8.747072808214954032e-01
-2.842809364548495310e-01 8.645927735782434898e-01
-2.775919732441471943e-01 8.541586810740601221e-01
-2.709030100334448576e-01 8.432830016202923495e-01
-2.642140468227425210e-01 8.321262920071837987e-01
-2.575250836120401843e-01 8.205077190138895249e-01
-2.508361204013378476e-01 8.086481841444924656e-01
-2.441471571906355109e-01 7.963063306129414265e-01
-2.374581939799331742e-01 7.837648586614200941e-01
-2.307692307692308376e-01 7.707206368990481282e-01
-2.240802675585283898e-01 7.575191783535842882e-01
-2.173913043478260532e-01 7.437947625297018917e-01
-2.107023411371237165e-01 7.299562950561094832e-01
-2.040133779264213798e-01 7.155750814405786864e-01
-1.973244147157190431e-01 7.011235736534576768e-01
-1.906354515050167064e-01 6.861101386446522010e-01
-1.839464882943143698e-01 6.710705128218097393e-01
-1.772575250836120331e-01 6.554505688728743396e-01
-1.705685618729096964e-01 6.398486626481429962e-01
-1.638795986622073597e-01 6.236490122027986693e-01
-1.571906354515050230e-01 6.075115392718301033e-01
-1.505016722408026864e-01 5.907600268227661822e-01
-1.438127090301003497e-01 5.741145366959133911e-01
-1.371237458193980130e-01 5.568399990801586874e-01
-1.304347826086956763e-01 5.397148359161546560e-01
-1.237458193979933396e-01 5.219470509627418542e-01
-1.170568561872910029e-01 5.043713115165584515e-01
-1.103678929765886663e-01 4.861409451623111000e-01
-1.036789297658863296e-01 4.681444358803210637e-01
-9.698996655518399290e-02 4.494829878697030323e-01
-9.030100334448165622e-02 4.310961811651135567e-01
-8.361204013377931954e-02 4.120359294498250891e-01
-7.692307692307698286e-02 3.932899191912304637e-01
-7.023411371237464618e-02 3.738638631446198901e-01
-6.354515050167230950e-02 3.547903193905161401e-01
-5.685618729096986179e-02 3.350321219509214132e-01
-5.016722408026752511e-02 3.156632449630871196e-01
-4.347826086956518843e-02 2.956071738189604003e-01
-3.678929765886285175e-02 2.759756473877526539e-01
-3.010033444816051507e-02 2.556565153158507631e-01
-2.341137123745817838e-02 2.357954594306970464e-01
-1.672240802675584170e-02 2.152485638968259507e-01
-1.003344481605350502e-02 1.951914867955129307e-01
-3.344481605351168341e-03 1.744525489252272410e-01
3.344481605351168341e-03 1.542332985559842773e-01
1.003344481605350502e-02 1.333384015803838751e-01
1.672240802675584170e-02 1.129911165112655325e-01
2.341137123745817838e-02 9.197664379056479100e-02
3.010033444816051507e-02 7.153570360121215554e-02
3.678929765886285175e-02 5.043827632614145823e-02
4.347826086956518843e-02 2.993825151768458523e-02
5.016722408026752511e-02 8.794666186021505086e-03
5.685618729096986179e-02 -1.172973235433967532e-02
6.354515050167219847e-02 -3.288256659166042400e-02
7.023411371237453515e-02 -5.339653853398961675e-02
7.692307692307687184e-02 -7.452166256567739622e-02
8.361204013377920852e-02 -9.499036945017380607e-02
9.030100334448154520e-02 -1.160508368477779911e-01
9.698996655518388188e-02 -1.364394537277429931e-01
1.036789297658862186e-01 -1.573983932537264541e-01
1.103678929765885552e-01 -1.776721606280063925e-01
1.170568561872908919e-01 -1.984928385261959805e-01
1.237458193979932286e-01 -2.186171145192108978e-01
1.304347826086955653e-01 -2.392629965080932397e-01
1.371237458193979020e-01 -2.592033092541879968e-01
1.438127090301002386e-01 -2.796381221464606104e-01
1.505016722408025753e-01 -2.993602223338219237e-01
1.571906354515049120e-01 -3.195480152084380632e-01
1.638795986622072487e-01 -3.390179287362458105e-01
1.705685618729095854e-01 -3.589231335919612076e-01
1.772575250836119221e-01 -3.781072142927329183e-01
1.839464882943142587e-01 -3.976947061147746987e-01
1.906354515050165954e-01 -4.165596884920788057e-01
1.973244147157189321e-01 -4.357948446660519504e-01
2.040133779264214908e-01 -4.543078965958494697e-01
2.107023411371238275e-01 -4.731566556053193873e-01
2.173913043478261642e-01 -4.912854309471820224e-01
2.240802675585285009e-01 -5.097143502935167492e-01
2.307692307692308376e-01 -5.274270413558868054e-01
2.374581939799331742e-01 -5.454033546409052802e-01
2.441471571906355109e-01 -5.626687444423063011e-01
